Category: All categories

Week,Bitcoin: (Worldwide)
2021-10-03,50
2021-10-10,58
2021-10-17,69
2021-10-24,54
2021-10-31,47
2021-11-07,54
2021-11-14,53
2021-11-21,52
2021-11-28,53
2021-12-05,59
2021-12-12,51
2021-12-19,49
2021-12-26,47
2022-01-02,58
2022-01-09,60
2022-01-16,61
2022-01-23,76
2022-01-30,60
2022-02-06,56
2022-02-13,49
2022-02-20,64
2022-02-27,56
2022-03-06,49
2022-03-13,43
2022-03-20,44
2022-03-27,46
2022-04-03,39
2022-04-10,38
2022-04-17,34
2022-04-24,35
2022-05-01,39
2022-05-08,85
2022-05-15,57
2022-05-22,43
2022-05-29,40
2022-06-05,38
2022-06-12,100
2022-06-19,77
2022-06-26,55
2022-07-03,50
2022-07-10,42
2022-07-17,48
2022-07-24,41
2022-07-31,38
2022-08-07,35
2022-08-14,34
2022-08-21,34
2022-08-28,33
2022-09-04,34
2022-09-11,34
2022-09-18,36
2022-09-25,32
2022-10-02,29
2022-10-09,28
2022-10-16,25
2022-10-23,27
2022-10-30,27
2022-11-06,51
2022-11-13,48
2022-11-20,35
2022-11-27,29
2022-12-04,28
2022-12-11,29
2022-12-18,27
2022-12-25,26
2023-01-01,27
2023-01-08,32
2023-01-15,37
2023-01-22,36
2023-01-29,35
2023-02-05,30
2023-02-12,32
2023-02-19,30
2023-02-26,29
