Category: All categories

Week,Cryptocurrency: (Worldwide)
2021-10-03,53
2021-10-10,50
2021-10-17,56
2021-10-24,91
2021-10-31,100
2021-11-07,85
2021-11-14,86
2021-11-21,92
2021-11-28,82
2021-12-05,67
2021-12-12,62
2021-12-19,59
2021-12-26,63
2022-01-02,78
2022-01-09,71
2022-01-16,77
2022-01-23,72
2022-01-30,65
2022-02-06,66
2022-02-13,59
2022-02-20,53
2022-02-27,52
2022-03-06,47
2022-03-13,45
2022-03-20,47
2022-03-27,54
2022-04-03,47
2022-04-10,43
2022-04-17,42
2022-04-24,42
2022-05-01,41
2022-05-08,82
2022-05-15,51
2022-05-22,41
2022-05-29,34
2022-06-05,32
2022-06-12,48
2022-06-19,34
2022-06-26,31
2022-07-03,28
2022-07-10,28
2022-07-17,31
2022-07-24,28
2022-07-31,28
2022-08-07,27
2022-08-14,29
2022-08-21,28
2022-08-28,28
2022-09-04,26
2022-09-11,26
2022-09-18,26
2022-09-25,26
2022-10-02,23
2022-10-09,23
2022-10-16,23
2022-10-23,25
2022-10-30,25
2022-11-06,39
2022-11-13,40
2022-11-20,27
2022-11-27,25
2022-12-04,22
2022-12-11,25
2022-12-18,22
2022-12-25,21
2023-01-01,23
2023-01-08,25
2023-01-15,26
2023-01-22,25
2023-01-29,26
2023-02-05,24
2023-02-12,24
2023-02-19,24
2023-02-26,22
