Dates,Crude Oil - Light (NYMEX) Historical Pricing
Apr-01-2020,20.31
Apr-02-2020,25.32
Apr-03-2020,28.34
Apr-04-2020,28.34
Apr-05-2020,28.34
Apr-06-2020,26.08
Apr-07-2020,23.63
Apr-08-2020,25.09
Apr-09-2020,22.76
Apr-10-2020,22.76
Apr-11-2020,22.76
Apr-12-2020,22.76
Apr-13-2020,29.26
Apr-14-2020,27.4
Apr-15-2020,26.04
Apr-16-2020,25.53
Apr-17-2020,25.03
Apr-18-2020,25.03
Apr-19-2020,25.03
Apr-20-2020,-37.63
Apr-21-2020,11.57
Apr-22-2020,13.78
Apr-23-2020,16.5
Apr-24-2020,21.22
Apr-25-2020,21.22
Apr-26-2020,21.22
Apr-27-2020,18.08
Apr-28-2020,17.6
Apr-29-2020,19.12
Apr-30-2020,21.85
May-01-2020,22.29
May-02-2020,22.29
May-03-2020,22.29
May-04-2020,22.78
May-05-2020,26.49
May-06-2020,25.62
May-07-2020,24.83
May-08-2020,26.17
May-09-2020,26.17
May-10-2020,26.17
May-11-2020,25.08
May-12-2020,26.33
May-13-2020,25.68
May-14-2020,27.88
May-15-2020,29.52
May-16-2020,29.52
May-17-2020,29.52
May-18-2020,31.65
May-19-2020,33.01
May-20-2020,34.38
May-21-2020,34.81
May-22-2020,34.14
May-23-2020,34.14
May-24-2020,34.14
May-25-2020,34.14
May-26-2020,35.24
May-27-2020,33.69
May-28-2020,34.49
May-29-2020,36.2
May-30-2020,36.2
May-31-2020,36.2
Jun-01-2020,36.17
Jun-02-2020,37.35
Jun-03-2020,37.87
Jun-04-2020,38
Jun-05-2020,40.03
Jun-06-2020,40.03
Jun-07-2020,40.03
Jun-08-2020,38.65
Jun-09-2020,39.38
Jun-10-2020,39.97
Jun-11-2020,36.81
Jun-12-2020,36.78
Jun-13-2020,36.78
Jun-14-2020,36.78
Jun-15-2020,37.71
Jun-16-2020,38.87
Jun-17-2020,38.4
Jun-18-2020,39.23
Jun-19-2020,39.93
Jun-20-2020,39.93
Jun-21-2020,39.93
Jun-22-2020,40.85
Jun-23-2020,40.37
Jun-24-2020,38.01
Jun-25-2020,38.91
Jun-26-2020,38.65
Jun-27-2020,38.65
Jun-28-2020,38.65
Jun-29-2020,39.81
Jun-30-2020,39.34
Jul-01-2020,39.92
Jul-02-2020,40.76
Jul-03-2020,40.76
Jul-04-2020,40.76
Jul-05-2020,40.76
Jul-06-2020,40.73
Jul-07-2020,40.7
Jul-08-2020,41.04
Jul-09-2020,39.83
Jul-10-2020,40.76
Jul-11-2020,40.76
Jul-12-2020,40.76
Jul-13-2020,40.32
Jul-14-2020,40.55
Jul-15-2020,41.4
Jul-16-2020,40.93
Jul-17-2020,40.75
Jul-18-2020,40.75
Jul-19-2020,40.75
Jul-20-2020,40.92
Jul-21-2020,41.92
Jul-22-2020,41.9
Jul-23-2020,41.07
Jul-24-2020,41.29
Jul-25-2020,41.29
Jul-26-2020,41.29
Jul-27-2020,41.6
Jul-28-2020,41.04
Jul-29-2020,41.27
Jul-30-2020,39.92
Jul-31-2020,40.27
Aug-01-2020,40.27
Aug-02-2020,40.27
Aug-03-2020,41.01
Aug-04-2020,41.7
Aug-05-2020,42.19
Aug-06-2020,41.95
Aug-07-2020,41.22
Aug-08-2020,41.22
Aug-09-2020,41.22
Aug-10-2020,41.94
Aug-11-2020,41.61
Aug-12-2020,42.95
Aug-13-2020,42.52
Aug-14-2020,42.31
Aug-15-2020,42.31
Aug-16-2020,42.31
Aug-17-2020,43.17
Aug-18-2020,43.12
Aug-19-2020,43.11
Aug-20-2020,42.82
Aug-21-2020,42.34
Aug-22-2020,42.34
Aug-23-2020,42.34
Aug-24-2020,42.62
Aug-25-2020,43.35
Aug-26-2020,43.39
Aug-27-2020,43.04
Aug-28-2020,42.97
Aug-29-2020,42.97
Aug-30-2020,42.97
Aug-31-2020,42.61
Sep-01-2020,42.76
Sep-02-2020,41.51
Sep-03-2020,41.37
Sep-04-2020,39.77
Sep-05-2020,39.77
Sep-06-2020,39.77
Sep-07-2020,39.77
Sep-08-2020,36.76
Sep-09-2020,38.87
Sep-10-2020,38.11
Sep-11-2020,37.65
Sep-12-2020,37.65
Sep-13-2020,37.65
Sep-14-2020,37.56
Sep-15-2020,38.55
Sep-16-2020,40.41
Sep-17-2020,41.22
Sep-18-2020,41.32
Sep-19-2020,41.32
Sep-20-2020,41.32
Sep-21-2020,39.54
Sep-22-2020,39.8
Sep-23-2020,39.93
Sep-24-2020,40.31
Sep-25-2020,40.25
Sep-26-2020,40.25
Sep-27-2020,40.25
Sep-28-2020,40.6
Sep-29-2020,39.29
Sep-30-2020,40.22
Oct-01-2020,38.72
Oct-02-2020,37.05
Oct-03-2020,37.05
Oct-04-2020,37.05
Oct-05-2020,39.22
Oct-06-2020,40.67
