Dates,S&P 500 (^SPX) - Index Value,US Treasure 10Y Maturity,Crude Oil - Light (NYMEX) Historical Pricing,Gold (COMEX:^GC) - Day Close Price,Corn Price Per Bushel,US Treasure 1Y Maturity,twitter_total_posts,positive_tweets,negative_tweets,neutral_tweets,tweet_sentiment,news_text_count,news_sentiment,Crypto Global Ranking,DJI,NASDAQ,VIX,Open,DOGE,COPPER,BTC_VOLUME,ETH,LTC,SJD,EUR
2021-10-11,,1.59,79.92,,5.33,0.1,1844.0,691.0,220.0,933.0,0.0751433248186363,12.0,0.0585152116402116,,35294.76171875,14897.33984375,16.299999237060547,54734.125,0.255708992,4.328000069,48730828378.0,4636.174316,261.26297,1.347360015,1.15955472
,,1.59,79.92,,5.33,0.1,1844.0,691.0,220.0,933.0,0.0751433248186363,12.0,0.0585152116402116,,35294.76171875,14897.33984375,16.299999237060547,34496.05859,0.255708992,4.328000069,48730828378.0,4636.174316,261.26297,1.347360015,1.15955472
2021-10-12,4350.65,1.56,79.92,1759.3,5.225,0.11,1311.0,492.0,162.0,657.0,0.0774010666264368,9.0,0.1161616161616161,,35258.609375,15021.8095703125,16.309999465942383,57526.83203,0.164422005,4.282999992,30966005122.0,3908.496094,148.5982971,1.364799976,1.129330993
2021-10-13,4363.8,1.52,79.82,1794.7,5.1225,0.1,1302.0,486.0,119.0,697.0,0.0849989648399546,7.4,0.09292929292929289,,35457.30859375,15129.08984375,15.699999809265137,56038.25781,0.232572004,4.520500183,41684252783.0,3606.20166,177.6283264,1.351109982,1.159958243
2021-10-14,4438.26,1.59,80.77,1797.9,5.1675,0.12,1369.0,478.0,146.0,745.0,0.0802963324881522,4.199999999999999,0.04646464646464643,,35609.33984375,15121.6796875,15.489999771118164,57372.83203,0.232272997,4.631499767,36615791366.0,3786.01416,180.1183929,1.348680019,1.159151554
2021-10-15,4471.37,1.59,81.73,1768.3,5.2575,0.11666666666666667,3092.0,954.0,392.0,1748.0,0.0642389440050209,1.0,0.0,,35603.078125,15215.7001953125,15.010000228881836,57345.90234,0.233781993,4.734000206,51780081801.0,3862.634766,188.8141327,1.34843501425,1.15928933025
2021-10-16,4476.4,1.59,81.73,1767.4333333333334,5.2575,0.11333333333333333,1305.0,486.0,149.0,671.0,0.0845592211928929,1.0,0.045454545454545435,,35677.01953125,15090.2001953125,15.43000030517578,61609.52734,0.237292007,4.732833544333333,34250964237.0,3830.38208,186.1893005,1.34794500475,1.1595648827499998
2021-10-17,4481.43,1.59,81.73,1766.5666666666666,5.2575,0.11,1283.0,496.0,126.0,663.0,0.0877208294597955,1.0,0.09090909090909087,56.0,35741.1484375,15226.7099609375,15.239999771118164,60887.65234,0.237898007,4.731666882666667,29032367511.0,3847.104492,183.7305298,1.3477,1.159702659
2021-10-18,4486.46,1.65,81.69,1765.7,5.3275,0.11,1669.0,649.0,190.0,830.0,0.0820967029414205,1.0,0.1363636363636363,58.916666666666664,35756.87890625,15235.7099609375,15.979999542236328,61548.80469,0.247281,4.730500221,38055562075.0,3748.760254,185.5567474,1.348960042,1.161386251
2021-10-19,4519.63,1.65,82.44,1770.5,5.3025,0.1,2567.0,936.0,244.0,1388.0,0.0786681996314977,1.0,0.1,64.75,35490.69140625,15235.83984375,16.979999542236328,62043.16406,0.245787993,4.714000225,40471196346.0,3877.650879,188.9398193,1.344900012,1.163196445
2021-10-20,4536.19,1.68,83.42,1784.9,5.3925,0.12,3190.0,1205.0,279.0,1706.0,0.082536415327311,1.0,0.09230769230769231,70.58333333333333,35730.48046875,15448.1201171875,16.530000686645508,64284.58594,0.254092991,4.756000042,40788955582.0,4155.992188,206.8707886,1.342700005,1.165501237
2021-10-21,4549.78,1.66,82.5,1781.9,5.3225,0.13,1752.0,659.0,202.0,892.0,0.0866825113857637,1.0,0.07692307692307693,76.41666666666666,35819.55859375,15498.3896484375,16.260000228881836,66002.23438,0.242391005,4.586500168,45908121370.0,4054.322754,196.8691864,1.346809983,1.162533879
2021-10-22,4544.9,1.6533333333333333,83.76,1796.3,5.38,0.13333333333333333,1378.0,514.0,152.0,712.0,0.0807271195504255,1.0,0.06153846153846154,82.25,35913.83984375,15595.919921875,16.40999984741211,62237.89063,0.244221002,4.526000023,38434082775.0,3970.181885,190.8222809,1.34724748125,1.16290262325
2021-10-23,4552.093333333333,1.6466666666666665,83.76,1799.8,5.38,0.1366666666666667,821.0,305.0,93.0,423.0,0.0758310141506374,1.0,0.046153846153846156,88.08333333333333,36052.62890625,15649.599609375,16.030000686645508,60694.62891,0.251733005,4.534499963333333,26882546034.0,4171.663574,196.3095093,1.34812247775,1.16364011175
2021-10-24,4559.286666666666,1.64,83.76,1803.3,5.38,0.14,946.0,365.0,111.0,471.0,0.082269700689175,1.0,0.038461538461538464,91.0,36157.578125,15811.580078125,15.100000381469728,61368.34375,0.277047992,4.542999903666667,27316183882.0,4087.903076,190.9056854,1.348559976,1.164008856
2021-10-25,4566.48,1.63,83.76,1806.8,5.38,0.14,1313.0,478.0,140.0,697.0,0.0851354488158461,1.0,0.03076923076923077,91.75,36124.23046875,15940.3095703125,15.4399995803833,60893.92578,0.264706999,4.551499844,31064911614.0,4217.876953,195.2995605,1.347149968,1.161170483
2021-10-26,4574.79,1.54,84.65,1793.4,5.435,0.12,1381.0,503.0,143.0,737.0,0.0831123094126519,1.0,0.015384615384615385,93.25,36327.94921875,15971.58984375,16.479999542236328,63032.76172,0.255732,4.486499786,34878965587.0,4131.102051,197.4688721,1.347200036,1.159823656
2021-10-27,4551.68,1.57,82.66,1798.8,5.5725,0.15,1341.0,484.0,140.0,717.0,0.0923145293392743,1.0,0.0,94.75,36432.21875,15982.3603515625,17.219999313354492,60352.0,0.237690002,4.387000084,43657076893.0,3930.257324,179.3341217,1.348899961,1.160012007
2021-10-28,4596.42,1.55,82.81,1802.6,5.6275,0.15,1316.0,485.0,128.0,703.0,0.0879331765068282,1.0,0.06666666666666664,96.25,36319.98046875,15886.5400390625,17.780000686645508,58470.73047,0.300446987,4.4375,45257083247.0,4287.318848,189.9776306,1.344089985,1.168360829
2021-10-29,4605.38,1.56,83.57,1783.9,5.6825,0.15,1037.0,401.0,96.0,540.0,0.0893125010835374,1.0,0.1999999999999999,97.75,36079.94140625,15622.7099609375,18.729999542236328,60624.87109,0.287853003,4.375500202,36856881767.0,4414.746582,196.3447113,1.344626653857143,1.167742445
2021-10-30,4608.143333333333,1.57,83.57,1787.8666666666668,5.6825,0.15,855.0,351.0,76.0,430.0,0.1023681984497198,1.4285714285714286,0.19275613275613265,99.25,35921.23046875,15704.2802734375,17.65999984741211,62239.36328,0.268344998,4.375447549157895,32157938616.0,4325.650391,190.4823456,1.3456999915714287,1.166505677
2021-10-31,4610.906666666667,1.58,83.57,1791.8333333333333,5.6825,0.15,1116.0,416.0,86.0,616.0,0.1035082147812889,1.8571428571428572,0.1855122655122654,100.0,36100.30859375,15860.9599609375,16.290000915527344,61850.48828,0.280243993,4.375394896315789,32241199927.0,4288.074219,191.8163757,1.3462366604285716,1.165887293
2021-11-01,4613.67,1.56,84.05,1795.8,5.79,0.15,1238.0,472.0,136.0,631.0,0.0985923041675214,2.2857142857142856,0.1782683982683982,99.41666666666667,36087.44921875,15853.849609375,16.489999771118164,61320.44922,0.27737687547058826,4.375342243473684,32852737090.0,4244.384794588235,191.08753335882355,1.3467733292857145,1.165268909
2021-11-02,4630.65,1.6,83.91,1789.4,5.73,0.17,1376.0,494.0,123.0,759.0,0.0875830054710868,3.142857142857143,0.1637806637806637,98.25,36142.21875,15973.8603515625,16.3700008392334,60963.25391,0.2716426404117647,4.375236937789474,34075811416.0,4157.005945764706,189.6298486764706,1.347846667,1.164032141
2021-11-03,4660.57,1.53,80.86,1763.9,5.64,0.14,1277.0,464.0,151.0,662.0,0.0751369185722441,4.0,0.1492929292929292,97.08333333333333,35931.05078125,15921.5703125,17.110000610351562,63254.33594,0.2659084053529412,4.375131632105263,35298885742.0,4069.6270969411767,188.17216399411765,1.3489200047142857,1.162795373
2021-11-04,4680.06,1.45,78.81,1793.5,5.5925,0.14,1316.0,539.0,160.0,617.0,0.098395528526891,4.857142857142857,0.1348051948051947,95.91666666666667,35870.94921875,15993.7099609375,17.59000015258789,62941.80469,0.26017417029411766,4.375026326421053,36521960068.0,3982.248248117647,186.7144793117647,1.3499933424285715,1.161558605
