Date,Day,Movement0D,Movement1D,Movement1W,Movement1M,Movement3M,Movement6M,Movement9M,Movement12M,BitcoinDate,Bitcoin1D,Bitcoin1W,Bitcoin1M,Bitcoin3M,Bitcoin6M,Bitcoin9M,Bitcoin12M,BitcoinCloseDate,BitcoinClose1W,BitcoinClose1M,BitcoinClose3M,BitcoinClose6M,BitcoinClose9M,BitcoinClose12M,BitcoinVolumeDate,BitcoinVolume1W,BitcoinVolume1M,BitcoinVolume3M,BitcoinVolume6M,BitcoinVolume9M,BitcoinVolume12M,SPYDate,SPY1W,SPY1M,SPY3M,SPY6M,SPY9M,SPY12M,CLDate,CL1W,CL1M,CL3M,CL6M,CL9M,CL12M,CornDate,Corn1W,Corn1M,Corn3M,Corn6M,Corn9M,Corn12M,WheatDate,Wheat1W,Wheat1M,Wheat3M,Wheat6M,Wheat9M,Wheat12M,SoybeansDate,Soybeans1W,Soybeans1M,Soybeans3M,Soybeans6M,Soybeans9M,Soybeans12M,GoldDate,Gold1W,Gold1M,Gold3M,Gold6M,Gold9M,Gold12M,CopperDate,Copper1W,Copper1M,Copper3M,Copper6M,Copper9M,Copper12M,sgdusdDate,sgdusd1W,sgdusd1M,sgdusd3M,sgdusd6M,sgdusd9M,sgdusd12M,Sentiment
17-09-2015,Thursday,0,1,0,0,0,0,0,0,229.076004,227.089,238.3359985,257.9259949,249.4279938,285.0669861,321.0679932,465.8640137,229.8099976,238.477005,211.0789948,249.0070038,256.2990112,331.8859863,457.3340149,18935400,21215500,42147200,30980200,57008000,22315100,21056800,1995.329956,1941.589966,2101.98999,2101.580078,2072.840088,2069.280029,1999.300049,47.13000107,44.15999985,41.88000107,59.77999878,42.50999832,57.75,94.70999908,385.25,356,363,359,371.5,409.75,343.25,488.25,462.75,499.5,491.5,503,629.5,496,886.75,882.75,925.25,967,954.5,1029,980,1118.599976,1107.300049,1118.199951,1183.400024,1148.699951,1198,1236.199951,2.463000059,2.430000067,2.295000076,2.652499914,2.631500006,2.92050004,3.149499893,0.715983629,0.703789234,0.710681558,0.748278916,0.720160186,0.760236621,0.793449342,0.02
18-09-2015,Friday,1,1,0,1,0,0,0,0,233.5209961,229.076004,238.3289948,225.6710052,249.0429993,255.8800049,332.0169983,456.8599854,232.9750061,240.1069946,226.6840057,244.6060028,260.928009,334.571991,424.4400024,20242200,19224700,60869200,23965300,52732000,16574200,34483200,1989.660034,1951.449951,2095.689941,2121.060059,2098.689941,2081.47998,2003.069946,46.88999939,45.70999908,42.40999985,60.5,44.59999847,55.38999939,93.97000122,380,361.75,366,357.75,377.5,411,341,481.25,468.5,495,487.5,516,625,496.25,883.75,886,913,976,969.25,1036.5,982.5,1128.300049,1110.800049,1117,1199.699951,1171.599976,1179.300049,1216.199951,2.469500065,2.463500023,2.289999962,2.625,2.632499933,2.885999918,3.127000093,0.716409385,0.707849324,0.712220252,0.749400437,0.725857973,0.757903039,0.788189709,0.01
21-09-2015,Monday,1,0,1,1,0,0,0,0,231.2169952,233.5209961,230.6089935,226.8990021,243.9689941,260.9559937,334.3850098,424.1029968,227.0850067,230.6439972,235.3500061,246.9900055,261.7489929,322.5339966,394.79599,19678800,20997800,32275000,17692500,18456700,15092300,37919700,1960.839966,1963.060059,2076.610107,2112.5,2090.320068,2083.25,2012.73999,44.97000122,44.77999878,40.58000183,59.43999863,43.99000168,56.79999924,92.97000122,376.5,377.5,367,352.75,373.5,413.5,338,485.75,483.75,495.25,487.75,511,636.5,487.75,868,887.25,904.75,972.5,961.75,1036.5,971.25,1137.599976,1107.800049,1132.800049,1197.800049,1171,1177,1218.300049,2.385499954,2.442500114,2.318000078,2.592999935,2.700000048,2.894999981,3.088000059,0.714122474,0.708285511,0.713612914,0.749288201,0.721334159,0.754620135,0.788892329,0.04
22-09-2015,Tuesday,0,0,0,0,0,0,0,0,226.9689941,231.2169952,230.4920044,235.3549957,246.927002,267.894989,319.1520081,399.1000061,230.6179962,230.3040009,232.5690002,244.2960052,266.7399902,327.9240112,402.1520081,25009300,19177800,23173800,15108700,22811900,16410500,24127600,1961.390015,1955.099976,2034.079956,2123.159912,2107.98999,2084.300049,2009.079956,46.45000076,44.11000061,41.02999878,60.20999908,46.40999985,55.86000061,92.22000122,384,392.75,370.25,361,385,410.25,331,496.5,500,504,501.75,533.25,614.5,476.25,871.25,886.5,920,989.5,974.5,1028.5,953,1132.599976,1104.5,1154.099976,1183.800049,1181.599976,1177.199951,1214.900024,2.390000105,2.420000076,2.313999891,2.592999935,2.800499916,2.875999928,3.059000015,0.709703088,0.711647511,0.71273303,0.748648703,0.725778937,0.756086469,0.789883137,0.04
23-09-2015,Wednesday,1,1,1,1,0,0,0,0,230.9360046,226.9689941,230.25,228.1119995,244.2819977,266.5769958,317.7009888,402.0920105,230.2830048,229.0910034,210.4949951,240.5149994,245.5950012,312.6700134,435.7909851,17254100,20144200,59220700,17344900,40073700,12302500,45099500,1943.23999,1978.02002,1965.150024,2123.649902,2103.939941,2087.629883,1992.780029,46.54000092,45.15999985,40.29999924,61.13999939,47.45999908,55.04999924,90.69999695,379.5,390,365,367,389.25,414,329.5,494.5,494.75,498.75,522.25,531.25,611.75,475.5,861.25,889,899.5,987.25,983.75,1045.75,936,1128.599976,1109.800049,1164,1176.599976,1188,1186.5,1221,2.30250001,2.430000067,2.270999908,2.650000095,2.880000114,2.855499983,3.056499958,0.705442488,0.713012457,0.707093537,0.745945811,0.7311064,0.75562942,0.787966132,0.02
25-09-2015,Friday,0,1,1,1,0,0,0,0,234.3619995,230.9360046,229.076004,222.076004,242.6040039,246.276001,310.9140015,423.1560059,235.1439972,229.8099976,225.8309937,243.5939941,248.5319977,320.1929932,411.5740051,22363600,18935400,31808000,13983500,25730000,13942900,26814400,1935.930054,1995.329956,1872.75,2102.620117,2059.939941,2082.110107,1997.319946,45.04999924,47.13000107,39.68999863,59.65999985,49.02000046,53.86999893,92.88999939,381.25,385.25,365.25,376,394,406,329.25,497.75,488.25,498,532,519,601.5,480.25,869,886.75,893.25,999,977,1035.5,936,1149.800049,1118.599976,1139.199951,1170.5,1198.199951,1199.199951,1209.5,2.309000015,2.463000059,2.302000046,2.644999981,2.849999905,2.861500025,3.062000036,0.701990843,0.715983629,0.712377608,0.744562805,0.729873717,0.756807506,0.788767934,0.01
28-09-2015,Monday,0,0,0,1,0,0,0,0,232.8359985,234.3619995,233.5209961,226.0500031,248.720993,248.5659943,314.07901,411.4289856,239.1419983,232.9750061,224.7689972,257.0639954,247.029007,315.0320129,404.4249878,24713000,20242200,21905400,34742900,17274900,7860650,21460800,1929.180054,1989.660034,1942.77002,2098.629883,2055.780029,2058.899902,1966.219971,45.38000107,46.88999939,38.95999908,58.84000015,51.00999832,53.75999832,92.47000122,388.75,380,362.5,383.75,391,396.25,326,508.5,481.25,490.25,557,499,589.75,472.75,888,883.75,879.5,997.25,974,1017.75,922,1133.199951,1128.300049,1127.199951,1185.099976,1197,1184,1214.099976,2.289999962,2.469500065,2.299000025,2.637500048,2.818000078,2.842000008,3.066999912,0.701508224,0.716409385,0.712199986,0.738143563,0.730086923,0.755344093,0.787792385,0.04
29-09-2015,Tuesday,1,1,1,1,0,0,0,0,239.0160065,232.8359985,231.2169952,224.701004,257.0360107,242.8789978,265.0840149,376.928009,236.6869965,227.0850067,231.3959961,263.071991,247.526001,274.473999,375.4670105,22691300,19678800,31336600,44533800,23009600,43962800,32497700,1881.900024,1960.839966,1986.060059,2061.189941,2064.110107,2054.439941,1978.959961,44.5,44.97000122,42.68000031,58.27000046,48.56999969,52.61000061,93.34999847,387.25,376.5,362.5,383.25,391.5,395.75,322.25,506,485.75,484.75,581,513.25,579.75,470.75,876.25,868,887.25,1000.5,968,1002.5,907.25,1132.199951,1137.599976,1125.300049,1176.300049,1198,1180.300049,1216.300049,2.240499973,2.385499954,2.335500002,2.638000011,2.765500069,2.82949996,3.01699996,0.69833374,0.714122474,0.714336753,0.742473185,0.730065584,0.749568999,0.784036994,0.04
30-09-2015,Wednesday,1,0,1,1,0,0,0,0,236.6399994,239.0160065,226.9689941,229.1139984,263.3450012,247.4539948,274.6109924,376.0880127,236.0599976,230.6179962,230.0559998,258.6210022,244.223999,286.1889954,386.9440002,19743500,25009300,20710700,27029800,22672000,23245700,34707300,1887.140015,1961.390015,1986.72998,2067,2084.050049,2022.150024,1978.209961,44.91999817,46.45000076,45,58.97999954,48.72999954,50,94.33999634,389,384,362.25,411,394,405.5,325.5,503.25,496.5,477,611.5,531.75,588,481.25,883.5,871.25,894.25,1053.5,967,1037.5,922,1124.300049,1132.599976,1131.099976,1173.099976,1185.800049,1203.5,1214.800049,2.263000011,2.390000105,2.336999893,2.622499943,2.763000011,2.795000076,3.029000044,0.70054996,0.709703088,0.709723175,0.742148042,0.726839244,0.749507189,0.784836948,0.05
01-10-2015,Thursday,0,0,1,1,0,0,0,0,236.0039978,236.6399994,230.9360046,230.2559967,258.552002,244.2230072,286.0769958,387.427002,237.548996,230.2830048,228.1210022,255.4120026,247.2720032,294.3370056,383.6149902,20488800,17254100,20575200,21551900,22877200,24866800,26229400,1919.650024,1943.23999,1970.089966,2078.030029,2067.629883,2005.550049,1971.439941,45.38000107,46.54000092,48.09999847,56.86999893,47.54999924,48,91.36000061,387.75,379.5,362.5,413,377,404.75,320.25,512,494.5,482,587.25,513,594.25,476.75,891.5,861.25,891.75,1041.75,973.25,1049.75,911,1115.199951,1128.599976,1133.5,1166.400024,1182.900024,1219.199951,1207.699951,2.341500044,2.30250001,2.335500002,2.639499903,2.749500036,2.792000055,3.003000021,0.702548146,0.705442488,0.70910418,0.739125609,0.728300273,0.749754429,0.78382194,0.04
