Date,Day,Movement0D,Movement1D,Movement1W,Movement1M,Movement3M,Movement6M,Movement9M,Movement12M,BitcoinDate,Bitcoin1D,Bitcoin1W,Bitcoin1M,Bitcoin3M,Bitcoin6M,Bitcoin9M,Bitcoin12M,BitcoinCloseDate,BitcoinClose1W,BitcoinClose1M,BitcoinClose3M,BitcoinClose6M,BitcoinClose9M,BitcoinClose12M,BitcoinVolumeDate,BitcoinVolume1W,BitcoinVolume1M,BitcoinVolume3M,BitcoinVolume6M,BitcoinVolume9M,BitcoinVolume12M,SPYDate,SPY1W,SPY1M,SPY3M,SPY6M,SPY9M,SPY12M,CLDate,CL1W,CL1M,CL3M,CL6M,CL9M,CL12M,CornDate,Corn1W,Corn1M,Corn3M,Corn6M,Corn9M,Corn12M,WheatDate,Wheat1W,Wheat1M,Wheat3M,Wheat6M,Wheat9M,Wheat12M,Soybeans,Soybeans1W,Soybeans1M,Soybeans3M,Soybeans6M,Soybeans9M,Soybeans12M,GoldDate,Gold1W,Gold1M,Gold3M,Gold6M,Gold9M,Gold12M,CopperDate,Copper1W,Copper1M,Copper3M,Copper6M,Copper9M,Copper12M,sgdusdDate,sgdusd1W,sgdusd1M,sgdusd3M,sgdusd6M,sgdusd9M,sgdusd12M,Sentiment,ETHDate,DOGEDate,LTCDate,UST1YDate,UST10YDate,EuroDate,All_Twitter_Posts,Positive_Tweets,Negative_Tweet,Neutral_Tweets,Tweet_Average_Sentiment,News_Article_Count,News_Sentiment,Crypto_Global_Ranking
11-10-2021,Monday,0,1,1,1,1,0,1,1,54734.125,53802.14453,43816.74219,45774.74219,34254.01563,58326.5625,37325.10938,10669.37109,57484.78906,48116.94141,46391.42188,33155.84766,58245.00391,39187.32813,10915.68555,42637331698,42850641582,38672657013,24321499537,46655208546,63615990033,63314794397,4385.439941,4317.160156,4513.02002,4372.410156,4096.109863,3814.97998,3434.280029,79.58999634,75.12000275,69.36000061,74.73999786,59.75999832,52.84000015,39.99000168,530,536.75,498.5,629.75,579,523,389,734,725,700,610.75,628.75,660,608.75,1240.5,1255,1260,1408.75,1416,1413,1051.25,1756.599976,1754.300049,1798.699951,1802.599976,1750.800049,1836.699951,1893,4.348999977,4.150000095,4.228499889,4.347000122,4.088500023,3.611999989,3.016000032,0.737876713,0.736252308,0.742776513,0.740318477,0.746463597,0.754312754,0.735667348,-0.16,4636.174316,0.255708992,261.26297,0.001,0.0159,1.15955472,1844,691,220,933,0.075143325,12,0.058515212,56
12-10-2021,Tuesday,1,1,1,1,1,0,1,1,57526.83203,54734.125,48208.90625,46396.66406,33125.46875,60175.94531,39156.70703,10927.91309,56041.05859,49112.90234,44883.91016,32702.02539,59893.45313,36825.36719,11064.45801,41083758949,33383173002,39154666597,19120856669,51828688519,67760757881,22799117613,4368.310059,4348.839844,4506.919922,4381.069824,4124.709961,3788.72998,3459.669922,80.5,75.90000153,67.97000122,74.18000031,59.34999847,53.79999924,41.31000137,532.75,540,499,669.5,577.75,534,387,731.75,752.25,682.5,636.5,638,671,594,1226.5,1242.75,1261.25,1436,1403.25,1432.25,1050.25,1751.900024,1764.5,1789.599976,1808.099976,1740.800049,1829.400024,1909.300049,4.363999844,4.239999771,4.275499821,4.337999821,4.027500153,3.628999949,3.092000008,0.737800419,0.737517476,0.744934499,0.740028143,0.745712161,0.75517863,0.736355364,-0.15,3908.496094,0.164422005,148.5982971,0.0011,0.0156,1.129330993,1311,492,162,657,0.077401067,9,0.116161616,56
13-10-2021,Wednesday,0,0,1,1,1,0,1,1,56038.25781,57526.83203,49174.96094,46057.21484,32723.8457,59890.01953,36642.23438,11392.63574,57401.09766,51514.8125,44963.07422,32822.34766,63503.45703,36069.80469,11555.36328,41684252783,35873904236,40969943253,21376531210,69983454362,57244195486,26163972642,4358.009766,4309.870117,4474.810059,4380.109863,4130.100098,3781.879883,3500.02002,80.58000183,77.58000183,69.73999786,75.16999817,59.63999939,52,40.40000153,523,540,503.5,682,569,531.5,395.5,736,756.25,671.5,645,630.25,683.75,592.5,1198.5,1234.25,1271.75,1438,1385.25,1419,1065.25,1760.800049,1764.300049,1789.800049,1813.099976,1733.800049,1802,1924,4.453999996,4.228000164,4.414500237,4.299499989,4.014500141,3.619999886,3.069999933,0.736854494,0.736778498,0.745612085,0.737408757,0.74606818,0.751766682,0.737724245,-0.18,3606.20166,0.232572004,177.6283264,0.001,0.0152,1.159958243,1302,486,119,697,0.084998965,7,0.092929293,56
14-10-2021,Thursday,1,1,1,1,1,0,1,1,57372.83203,56038.25781,51486.66406,44960.05078,32827.875,63523.75391,36050.11328,11548.71973,57321.52344,55361.44922,47092.49219,31780.73047,63109.69531,35547.75,11425.89941,36615791366,49034730168,38652152880,21300524237,77451779687,66834573161,24241420251,4386.75,4319.569824,4479.330078,4369.02002,4141.580078,3816.219971,3534.01001,80.58999634,79.04000092,70.63999939,72.95999908,60.43999863,53.13000107,39.52999878,512.25,537,497,568.5,579.75,525,389,718.75,744.75,677.25,653.75,630.75,675.25,596.25,1196,1250,1283.5,1453.25,1391.5,1384.5,1034,1792.199951,1759.300049,1791.400024,1831.599976,1741.300049,1847.800049,1921.900024,4.610000134,4.164999962,4.356500149,4.265500069,4.046500206,3.638999939,3.04550004,0.741262317,0.736610234,0.745489776,0.738814354,0.746602952,0.753352463,0.736990273,-0.17,3786.01416,0.232272997,180.1183929,0.0012,0.0159,1.159151554,1369,478,146,745,0.080296332,4,0.046464646,56
15-10-2021,Friday,0,0,1,1,1,0,1,1,57345.90234,57372.83203,55338.625,47098,31841.55078,63075.19531,35549.39844,11429.04785,61593.94922,53805.98438,48176.34766,31421.53906,63314.01172,30825.69922,11429.50684,51780081801,36807860413,30484496466,23699476918,60954381579,75643067688,24103426719,4447.689941,4383.72998,4447.490234,4367.430176,4139.759766,3857.459961,3515.469971,81.48000336,77,70.76000214,71.48000336,62.83000183,52.93000031,40.18999863,516.25,532.75,520.75,564,594.25,521,391,725,746,700,671.75,647.25,666.5,594.75,1205.75,1242,1283.5,1449.5,1410,1369,1043,1794.5,1762.400024,1803.699951,1830.099976,1740.099976,1865.300049,1889.699951,4.610499859,4.224999905,4.309999943,4.350999832,4.175000191,3.65899992,3.049999952,0.741784751,0.736057222,0.744296849,0.738290668,0.748469353,0.754751205,0.73515898,-0.17,3862.634766,0.233781993,188.8141327,0.0012,0.0159,1.15928933,3092,954,392,1748,0.064238944,1,0,56
16-10-2021,Saturday,0,1,1,1,1,0,1,1,58746.86979,57363.85547,54826.46484,47451.63542,31827.70443,63136.29818,33972.14063,11428.23275,61737.99219,53859.93881,48045.35157,31220.30338,62733.60417,31552.38672,11451.45443,47205241892,36138864917,30911095562,22611247794,68733923542,76164469296,24231362165,4453.033366,4391.323242,4457.356771,4343.753418,4151.21989,3853.053304,3494.886638,81.85333506,77.6200002,71.39000194,71.48333486,62.99333445,52.98666636,40.50333278,519.4166667,532.9166667,525,566,593,521.5,392.6666667,728,743.75,703.75,682.0833333,649,663.8333333,595.4166667,1209.833333,1243.5,1287.833333,1458,1413,1368.333333,1047.833333,1783.533325,1760.600016,1800.099975,1821.166667,1750.199992,1861.833374,1892.233317,4.670166652,4.247333209,4.339999994,4.335999966,4.195000172,3.630999963,3.05066665,0.741720577,0.736218055,0.744848351,0.737889787,0.748815298,0.755272567,0.735691587,-0.166666667,3830.38208,0.237292007,186.1893005,0.0011,0.0159,1.159564883,1305,486,149,671,0.084559221,1,0.045454545,56
17-10-2021,Sunday,0,1,1,1,1,0,1,1,60147.83724,57354.8789,54314.30469,47805.27083,31813.85807,63197.40104,32394.88281,11427.41764,61882.03516,53913.89323,47914.35547,31019.06771,62153.19661,32279.07422,11473.40202,42630401984,35469869420,31337694658,21523018669,76513465505,76685870903,24359297612,4458.37679,4398.916504,4467.223307,4320.07666,4162.680013,3848.646647,3474.303304,82.22666677,78.24000041,72.02000173,71.48666636,63.15666707,53.04333242,40.81666692,522.5833333,533.0833333,529.25,568,591.75,522,394.3333333,731,741.5,707.5,692.4166667,650.75,661.1666667,596.0833333,1213.916667,1245,1292.166667,1466.5,1416,1367.666667,1052.666667,1772.566651,1758.800008,1796.5,1812.233358,1760.300008,1858.366699,1894.766683,4.729833444,4.269666513,4.370000044,4.321000099,4.215000153,3.603000005,3.051333348,0.741656402,0.736378888,0.745399853,0.737488906,0.749161244,0.755793929,0.736224195,-0.163333333,3847.104492,0.237898007,183.7305298,0.0011,0.0159,1.159702659,1283,496,126,663,0.087720829,1,0.090909091,56
18-10-2021,Monday,0,1,1,1,1,0,1,1,61548.80469,57345.90234,53802.14453,48158.90625,31800.01172,63258.50391,30817.625,11426.60254,62026.07813,53967.84766,47783.35938,30817.83203,61572.78906,33005.76172,11495.34961,38055562075,34800873924,31764293754,20434789545,84293007468,77207272511,24487233058,4463.720215,4406.509766,4477.089844,4296.399902,4174.140137,3844.23999,3453.719971,82.59999847,78.86000061,72.65000153,71.48999786,63.31999969,53.09999847,41.13000107,525.75,533.25,533.5,570,590.5,522.5,396,734,739.25,711.25,702.75,652.5,658.5,596.75,1218,1246.5,1296.5,1475,1419,1367,1057.5,1761.599976,1757,1792.900024,1803.300049,1770.400024,1854.900024,1897.300049,4.789500237,4.291999817,4.400000095,4.306000233,4.235000134,3.575000048,3.052000046,0.741592228,0.736539721,0.745951355,0.737088025,0.749507189,0.756315291,0.736756802,-0.16,3748.760254,0.247281,185.5567474,0.0011,0.0165,1.161386251,1669,649,190,830,0.082096703,1,0.136363636,58.91666667
19-10-2021,Tuesday,0,1,1,1,1,1,1,1,62043.16406,61548.80469,54734.125,47771.00391,30838.28516,56191.58594,32285.79883,11502.82813,64261.99219,57484.78906,47267.51953,29807.34766,55724.26563,32366.39258,11322.12305,40471196346,42637331698,28727713711,23148267245,65344865159,59897054838,25635480772,4497.339844,4385.439941,4469.740234,4265.109863,4179.799805,3851.679932,3493.5,82.37000275,79.58999634,72.62000275,66.59999847,62.97999954,52.16999817,40.88000107,532,530,529,558,588.75,500,403.25,736,734,713.75,698.75,653,633,618.5,1220.5,1240.5,1295.5,1434.25,1439.75,1308.75,1062.75,1777.599976,1756.599976,1758.800049,1812.900024,1782.099976,1864.699951,1898.5,4.75,4.348999977,4.282000065,4.210999966,4.179999828,3.632999897,3.065000057,0.741432726,0.737876713,0.743372858,0.733299077,0.749344349,0.752943993,0.73515898,-0.19,3877.650879,0.245787993,188.9398193,0.001,0.0165,1.163196445,2567,936,244,1388,0.0786682,1,0.1,64.75
20-10-2021,Wednesday,0,1,1,1,1,1,1,1,64284.58594,62043.16406,57526.83203,47261.40625,29796.28516,55681.79297,32358.61328,11495.03809,65992.83594,56041.05859,42843.80078,32110.69336,56473.03125,32569.84961,11742.03711,40788955582,41083758949,43909845642,28203024559,67849323955,60255421470,23860769928,4524.419922,4368.310059,4402.950195,4331.129883,4159.180176,3862.959961,3493.659912,83.33999634,80.5,71.91999817,66.44999695,63.47000122,52.90999985,40.68999863,530,532.75,527,572,593,513,401.75,737,731.75,708,701,651.5,646.75,631,1227.75,1226.5,1285,1449.25,1450.5,1348.25,1051.25,1774.599976,1751.900024,1751.800049,1807,1769.300049,1855.800049,1907.300049,4.650000095,4.363999844,4.230000019,4.264500141,4.24849987,3.628999949,3.097500086,0.743715644,0.737800419,0.74134481,0.731903672,0.752332211,0.753403544,0.736442089,-0.18,4155.992188,0.254092991,206.8707886,0.0012,0.0168,1.165501237,3190,1205,279,1706,0.082536415,1,0.092307692,70.58333333
