Dates,Date,Bitcoin_Volume,Bitcoin_Price,Bitcoin_Price_Close,Bitcoin_Price_Previous_Day_Open,Bitcoin_Price_One_Week_Prior_Open,Ethereum_Price,Doge_Price,Litecoin_Price,SP500,UST_1Y_Maturity,UST_10Y_Maturity,Crude_Oil,Gold,Copper,Corn,Singapore_Dollar,Euro,All_Twitter_Posts,Positive_Tweets,Negative_Tweet,Neutral_Tweets,Tweet_Average_Sentiment,News_Article_Count,News_Sentiment,Crypto_Global_Ranking,BTC_Price_Movement_DOD_UD,BTC_Price_Movement_DOD_10,BTC_Price_Movement_ID_UD,BTC_Price_Movement_ID_10
11-10-2021,1,48730828378.0,54734.125,57484.78906,54952.82031,48208.90625,4636.174316,0.255708992,261.26297,4350.65,0.001,0.0159,79.92,1759.3,4.328000069,5.33,1.347360015,1.15955472,1844,691,220,933,0.075143325,12,0.058515212,56.0,Up,1,Up,1
12-10-2021,2,30966005122.0,57526.83203,56041.05859,54734.125,49174.96094,3908.496094,0.164422005,148.5982971,4350.65,0.0011,0.0156,79.92,1759.3,4.282999992,5.225,1.364799976,1.129330993,1311,492,162,657,0.077401067,9,0.116161616,56.0,Up,1,Down,0
13-10-2021,3,41684252783.0,56038.25781,57401.09766,57526.83203,51486.66406,3606.20166,0.232572004,177.6283264,4363.8,0.001,0.0152,79.82,1794.7,4.520500183,5.1225,1.351109982,1.159958243,1302,486,119,697,0.084998965,7,0.092929293,56.0,Up,1,Up,1
14-10-2021,4,36615791366.0,57372.83203,57321.52344,56038.25781,55338.625,3786.01416,0.232272997,180.1183929,4438.26,0.0012,0.0159,80.77,1797.9,4.631499767,5.1675,1.348680019,1.159151554,1369,478,146,745,0.080296332,4,0.046464646,56.0,Down,0,Down,0
15-10-2021,5,51780081801.0,57345.90234,61593.94922,57372.83203,53802.14453,3862.634766,0.233781993,188.8141327,4471.37,0.0012,0.0159,81.73,1768.3,4.734000206,5.2575,1.348435014,1.15928933,3092,954,392,1748,0.064238944,1,0.0,56.0,Up,1,Up,1
16-10-2021,6,34250964237.0,61609.52734,60892.17969,57345.90234,53929.78125,3830.38208,0.237292007,186.1893005,4476.4,0.0011,0.0159,81.73,1767.433333,4.732833544,5.2575,1.347945005,1.159564883,1305,486,149,671,0.084559221,1,0.045454545,56.0,Up,1,Down,0
17-10-2021,7,29032367511.0,60887.65234,61553.61719,61609.52734,54952.82031,3847.104492,0.237898007,183.7305298,4481.43,0.0011,0.0159,81.73,1766.566667,4.731666883,5.2575,1.3477,1.159702659,1283,496,126,663,0.087720829,1,0.090909091,56.0,Up,1,Up,1
18-10-2021,8,38055562075.0,61548.80469,62026.07813,60887.65234,54734.125,3748.760254,0.247281,185.5567474,4486.46,0.0011,0.0165,81.69,1765.7,4.730500221,5.3275,1.348960042,1.161386251,1669,649,190,830,0.082096703,1,0.136363636,58.91666667,Down,0,Up,1
19-10-2021,9,40471196346.0,62043.16406,64261.99219,61548.80469,57526.83203,3877.650879,0.245787993,188.9398193,4519.63,0.001,0.0165,82.44,1770.5,4.714000225,5.3025,1.344900012,1.163196445,2567,936,244,1388,0.0786682,1,0.1,64.75,Up,1,Up,1
20-10-2021,10,40788955582.0,64284.58594,65992.83594,62043.16406,56038.25781,4155.992188,0.254092991,206.8707886,4536.19,0.0012,0.0168,83.42,1784.9,4.756000042,5.3925,1.342700005,1.165501237,3190,1205,279,1706,0.082536415,1,0.092307692,70.58333333,Up,1,Up,1
21-10-2021,11,45908121370.0,66002.23438,62210.17188,64284.58594,57372.83203,4054.322754,0.242391005,196.8691864,4549.78,0.0013,0.0166,82.5,1781.9,4.586500168,5.3225,1.346809983,1.162533879,1752,659,202,892,0.086682511,1,0.076923077,76.41666667,Up,1,Down,0
22-10-2021,12,38434082775.0,62237.89063,60692.26563,66002.23438,57345.90234,3970.181885,0.244221002,190.8222809,4544.9,0.0013,0.0165,83.76,1796.3,4.526000023,5.38,1.347247481,1.162902623,1378,514,152,712,0.08072712,1,0.061538462,82.25,Down,0,Down,0
23-10-2021,13,26882546034.0,60694.62891,61393.61719,62237.89063,61609.52734,4171.663574,0.251733005,196.3095093,4552.093333,0.0014,0.0165,83.76,1799.8,4.534499963,5.38,1.348122478,1.163640112,821,305,93,423,0.075831014,1,0.046153846,88.08333333,Down,0,Up,1
