Dates,S&P 500 (^SPX) - Index Value
Oct-12-2021,4350.65
Oct-13-2021,4363.80
Oct-14-2021,4438.26
Oct-15-2021,4471.37
Oct-18-2021,4486.46
Oct-19-2021,4519.63
Oct-20-2021,4536.19
Oct-21-2021,4549.78
Oct-22-2021,4544.90
Oct-25-2021,4566.48
Oct-26-2021,4574.79
Oct-27-2021,4551.68
Oct-28-2021,4596.42
Oct-29-2021,4605.38
Nov-01-2021,4613.67
Nov-02-2021,4630.65
Nov-03-2021,4660.57
Nov-04-2021,4680.06
Nov-05-2021,4697.53
Nov-08-2021,4701.70
Nov-09-2021,4685.25
Nov-10-2021,4646.71
Nov-11-2021,4649.27
Nov-12-2021,4682.85
Nov-15-2021,4682.80
Nov-16-2021,4700.90
Nov-17-2021,4688.67
Nov-18-2021,4704.54
Nov-19-2021,4697.96
Nov-22-2021,4682.94
Nov-23-2021,4690.70
Nov-24-2021,4701.46
Nov-26-2021,4594.62
Nov-29-2021,4655.27
Nov-30-2021,4567.00
Dec-01-2021,4513.04
Dec-02-2021,4577.10
Dec-03-2021,4538.43
Dec-06-2021,4591.67
Dec-07-2021,4686.75
Dec-08-2021,4701.21
Dec-09-2021,4667.45
Dec-10-2021,4712.02
Dec-13-2021,4668.97
Dec-14-2021,4634.09
Dec-15-2021,4709.85
Dec-16-2021,4668.67
Dec-17-2021,4620.64
Dec-20-2021,4568.02
Dec-21-2021,4649.23
Dec-22-2021,4696.56
Dec-23-2021,4725.79
Dec-27-2021,4791.19
Dec-28-2021,4786.35
Dec-29-2021,4793.06
Dec-30-2021,4778.73
Dec-31-2021,4766.18
Jan-03-2022,4796.56
Jan-04-2022,4793.54
Jan-05-2022,4700.58
Jan-06-2022,4696.05
Jan-07-2022,4677.03
Jan-10-2022,4670.29
Jan-11-2022,4713.07
Jan-12-2022,4726.35
Jan-13-2022,4659.03
Jan-14-2022,4662.85
Jan-18-2022,4577.11
Jan-19-2022,4532.76
Jan-20-2022,4482.73
Jan-21-2022,4397.94
Jan-24-2022,4410.13
Jan-25-2022,4356.45
Jan-26-2022,4349.93
Jan-27-2022,4326.51
Jan-28-2022,4431.85
Jan-31-2022,4515.55
Feb-01-2022,4546.54
Feb-02-2022,4589.38
Feb-03-2022,4477.44
Feb-04-2022,4500.53
Feb-07-2022,4483.87
Feb-08-2022,4521.54
Feb-09-2022,4587.18
Feb-10-2022,4504.08
Feb-11-2022,4418.64
Feb-14-2022,4401.67
Feb-15-2022,4471.07
Feb-16-2022,4475.01
Feb-17-2022,4380.26
Feb-18-2022,4348.87
Feb-22-2022,4304.76
Feb-23-2022,4225.50
Feb-24-2022,4288.70
Feb-25-2022,4384.65
Feb-28-2022,4373.94
Mar-01-2022,4306.26
Mar-02-2022,4386.54
Mar-03-2022,4363.49
Mar-04-2022,4328.87
Mar-07-2022,4201.09
Mar-08-2022,4170.70
Mar-09-2022,4277.88
Mar-10-2022,4259.52
Mar-11-2022,4204.31
Mar-14-2022,4173.11
Mar-15-2022,4262.45
Mar-16-2022,4357.86
Mar-17-2022,4411.67
Mar-18-2022,4463.12
Mar-21-2022,4461.18
Mar-22-2022,4511.61
Mar-23-2022,4456.24
Mar-24-2022,4520.16
Mar-25-2022,4543.06
Mar-28-2022,4575.52
Mar-29-2022,4631.60
Mar-30-2022,4602.45
Mar-31-2022,4530.41
Apr-01-2022,4545.86
Apr-04-2022,4582.64
Apr-05-2022,4525.12
Apr-06-2022,4481.15
Apr-07-2022,4500.21
Apr-08-2022,4488.28
Apr-11-2022,4412.53
Apr-12-2022,4397.45
Apr-13-2022,4446.59
Apr-14-2022,4392.59
Apr-18-2022,4391.69
Apr-19-2022,4462.21
Apr-20-2022,4459.45
Apr-21-2022,4393.66
Apr-22-2022,4271.78
Apr-25-2022,4296.12
Apr-26-2022,4175.20
Apr-27-2022,4183.96
Apr-28-2022,4287.50
Apr-29-2022,4131.93
May-02-2022,4155.38
May-03-2022,4175.48
May-04-2022,4300.17
May-05-2022,4146.87
May-06-2022,4123.34
May-09-2022,3991.24
May-10-2022,4001.05
May-11-2022,3935.18
May-12-2022,3930.08
May-13-2022,4023.89
May-16-2022,4008.01
May-17-2022,4088.85
May-18-2022,3923.68
May-19-2022,3900.79
May-20-2022,3901.36
May-23-2022,3973.75
May-24-2022,3941.48
May-25-2022,3978.73
May-26-2022,4057.84
May-27-2022,4158.24
May-31-2022,4132.15
Jun-01-2022,4101.23
Jun-02-2022,4176.82
Jun-03-2022,4108.54
Jun-06-2022,4121.43
Jun-07-2022,4160.68
Jun-08-2022,4115.77
Jun-09-2022,4017.82
Jun-10-2022,3900.86
Jun-13-2022,3749.63
Jun-14-2022,3735.48
Jun-15-2022,3789.99
Jun-16-2022,3666.77
Jun-17-2022,3674.84
Jun-21-2022,3764.79
Jun-22-2022,3759.89
Jun-23-2022,3795.73
Jun-24-2022,3911.74
Jun-27-2022,3900.11
Jun-28-2022,3821.55
Jun-29-2022,3818.83
Jun-30-2022,3785.38
Jul-01-2022,3825.33
Jul-05-2022,3831.39
Jul-06-2022,3845.08
Jul-07-2022,3902.62
Jul-08-2022,3899.38
