date,total_posts,positive,negative,neutral,sentiment
2021-10-01,861,319,77,467,0.09748516611953957
2021-10-02,998,332,111,556,0.07015092253857134
2021-10-03,1016,322,84,611,0.07642990979496941
2021-10-04,1520,466,198,856,0.06825878228153251
2021-10-05,1846,621,180,1045,0.07872895518473871
2021-10-06,2422,746,215,1461,0.06729216309028942
2021-10-07,1310,471,153,687,0.07741219024103971
2021-10-08,1210,445,128,637,0.07973327205120298
2021-10-09,965,344,109,516,0.07685899123797407
2021-10-10,1046,342,116,589,0.06639203669451124
2021-10-11,1844,691,220,933,0.07514332481863639
2021-10-12,1311,492,162,657,0.07740106662643687
2021-10-13,1302,486,119,697,0.08499896483995467
2021-10-14,1369,478,146,745,0.08029633248815224
2021-10-15,3092,954,392,1748,0.06423894400502095
2021-10-16,1305,486,149,671,0.08455922119289297
2021-10-17,1283,496,126,663,0.08772082945979555
2021-10-18,1669,649,190,830,0.08209670294142055
2021-10-19,2567,936,244,1388,0.07866819963149771
2021-10-20,3190,1205,279,1706,0.08253641532731108
2021-10-21,1752,659,202,892,0.08668251138576373
2021-10-22,1378,514,152,712,0.08072711955042552
2021-10-23,821,305,93,423,0.07583101415063744
2021-10-24,946,365,111,471,0.08226970068917502
2021-10-25,1313,478,140,697,0.08513544881584617
2021-10-26,1381,503,143,737,0.08311230941265196
2021-10-27,1341,484,140,717,0.09231452933927434
2021-10-28,1316,485,128,703,0.0879331765068282
2021-10-29,1037,401,96,540,0.08931250108353747
2021-10-30,855,351,76,430,0.10236819844971984
2021-10-31,1116,416,86,616,0.10350821478128891
2021-11-01,1238,472,136,631,0.09859230416752143
2021-11-02,1376,494,123,759,0.08758300547108684
2021-11-03,1277,464,151,662,0.07513691857224411
2021-11-04,1316,539,160,617,0.09839552852689101
2021-11-05,1177,486,122,569,0.09029002953323852
2021-11-06,944,336,103,507,0.08249304986271667
2021-11-07,1083,353,111,619,0.06968173968752511
2021-11-08,2125,786,165,1174,0.08244530964404265
2021-11-09,1885,676,205,1004,0.07476349306233394
2021-11-10,1846,668,207,971,0.07408200831135847
2021-11-11,1275,511,135,630,0.08853575538065644
2021-11-12,1453,500,196,758,0.07231327068169098
2021-11-13,1185,441,133,611,0.0767239538193539
2021-11-14,1390,495,140,755,0.08447880931654267
2021-11-15,1537,557,146,835,0.08884883045030151
2021-11-16,1757,585,190,982,0.07548841345751664
2021-11-17,827,301,92,434,0.08085617913987991
2021-11-18,1573,532,186,856,0.07837836662137806
2021-11-19,1558,501,185,876,0.07403230368090426
2021-11-20,1179,378,113,689,0.07949749036130978
2021-11-21,1646,517,136,994,0.0678586389777408
2021-11-22,1516,511,155,850,0.07613751244358785
2021-11-23,1434,542,138,757,0.08589480889821689
2021-11-24,1195,438,144,614,0.07766413788155634
2021-11-25,1117,407,104,607,0.0980698632916241
2021-11-26,1495,488,178,829,0.07139151637268873
2021-11-27,969,337,122,510,0.07447203227826661
2021-11-28,1189,361,118,710,0.06502709257636867
2021-11-29,740,303,88,349,0.09470039787889722
2021-11-30,1257,406,139,713,0.07245342480967043
2021-12-01,1309,467,147,695,0.08493977027281954
2021-12-02,1157,418,145,594,0.07184269526724288
2021-12-03,1403,452,162,791,0.07309318516258098
2021-12-04,2327,584,276,1467,0.04618539082402269
2021-12-05,1141,360,145,637,0.05816853562848394
2021-12-06,1625,593,195,837,0.08192729748773053
2021-12-07,1370,497,148,725,0.07566989659314347
2021-12-08,1211,421,142,648,0.0776311942035804
2021-12-09,1291,449,148,694,0.07374778930376578
2021-12-10,1229,421,147,662,0.06981270301661924
2021-12-11,957,332,128,497,0.07450873227410806
2021-12-12,1098,359,118,621,0.07147318191158453
2021-12-13,1356,415,171,770,0.06014731650704042
2021-12-14,1280,437,166,678,0.06394727157071727
2021-12-15,1246,406,133,708,0.06829640673764274
2021-12-16,1067,383,118,566,0.07908098706648233
2021-12-17,1115,370,141,604,0.06428532359864572
2021-12-18,868,293,96,480,0.06743144661041275
2021-12-19,871,280,101,490,0.06688996491577337
2021-12-20,1181,407,136,638,0.06602762731126019
