date_new,rating,Price,Change %,Volume
12-10-2021,0.000,"56,015.90",-0.03,74850
15-10-2021,0.000,"61,672.50",0.08,121480
18-10-2021,0.000,"62,056.30",0.01,80150
19-10-2021,1.000,"64,278.50",0.04,80160
27-10-2021,-1.000,"58,438.10",-0.03,88110
29-10-2021,-1.000,"62,242.80",0.03,63390
01-11-2021,-1.000,"60,915.30",-0.01,61210
02-11-2021,-0.500,"63,221.70",0.04,65260
03-11-2021,0.000,"62,918.50",0.00,61050
04-11-2021,-0.333,"61,412.60",-0.02,49910
05-11-2021,-0.200,"60,974.30",-0.01,44460
06-11-2021,0.000,"61,483.90",0.01,34890
08-11-2021,0.500,"67,527.90",0.07,81080
09-11-2021,0.400,"66,904.40",-0.01,66130
10-11-2021,0.167,"64,932.60",-0.03,96210
11-11-2021,-0.200,"64,806.70",0.00,50370
12-11-2021,0.100,"64,134.50",-0.01,63270
13-11-2021,1.000,"64,398.60",0.00,30340
14-11-2021,0.000,"65,508.20",0.02,33980
15-11-2021,0.200,"63,597.90",-0.03,53530
16-11-2021,0.286,"60,089.10",-0.06,115360
17-11-2021,-0.273,"60,367.80",0.00,73930
18-11-2021,0.091,"56,955.30",-0.06,100370
19-11-2021,0.500,"58,083.40",0.02,74440
20-11-2021,0.000,"59,717.60",0.03,44530
22-11-2021,0.111,"56,308.80",-0.04,76450
23-11-2021,0.333,"57,573.20",0.02,72480
24-11-2021,0.100,"57,171.70",-0.01,56680
25-11-2021,0.000,"58,935.10",0.03,56790
26-11-2021,0.500,"53,730.90",-0.09,104030
29-11-2021,0.222,"57,794.80",0.01,58650
30-11-2021,0.636,"56,882.90",-0.02,73660
01-12-2021,-1.000,"57,210.30",0.01,66750
02-12-2021,0.000,"56,496.00",-0.01,54940
03-12-2021,-0.500,"53,631.50",-0.05,89200
06-12-2021,0.500,"50,562.10",0.02,89680
07-12-2021,0.000,"50,595.20",0.00,56290
08-12-2021,-0.250,"50,473.90",0.00,55590
09-12-2021,0.300,"47,596.60",-0.06,58690
10-12-2021,-0.111,"47,137.20",-0.01,68060
11-12-2021,1.000,"49,314.50",0.05,45230
13-12-2021,0.091,"46,703.60",-0.07,80370
14-12-2021,0.182,"48,366.50",0.04,62540
15-12-2021,-0.167,"48,871.50",0.01,80280
16-12-2021,0.111,"47,628.20",-0.03,48200
17-12-2021,0.222,"46,172.20",-0.03,67500
18-12-2021,1.000,"46,856.20",0.01,36930
20-12-2021,0.200,"46,895.20",0.00,57530
21-12-2021,0.200,"48,902.00",0.04,57880
22-12-2021,0.250,"48,599.70",-0.01,40890
23-12-2021,0.222,"50,801.00",0.05,56240
24-12-2021,0.429,"50,786.10",0.00,45970
25-12-2021,0.000,"50,406.40",-0.01,26670
27-12-2021,0.222,"50,678.20",0.00,43900
28-12-2021,-0.143,"47,545.20",-0.06,74390
29-12-2021,0.000,"46,461.70",-0.02,63920
30-12-2021,0.571,"47,123.30",0.01,60960
31-12-2021,0.000,"46,219.50",-0.02,58180
03-01-2022,0.100,"46,430.20",-0.02,41060
04-01-2022,0.364,"45,837.30",-0.01,55590
05-01-2022,0.222,"43,425.90",-0.05,83740
06-01-2022,0.143,"43,097.50",-0.01,63080
07-01-2022,0.273,"41,546.70",-0.04,88360
08-01-2022,1.000,"41,672.00",0.00,52540
10-01-2022,0.385,"41,832.20",0.00,85500
11-01-2022,0.308,"42,733.20",0.02,61780
12-01-2022,0.250,"43,901.00",0.03,53950
13-01-2022,0.182,"42,560.00",-0.03,53420
14-01-2022,0.128,"43,073.30",0.01,50500
15-01-2022,0.400,"43,097.00",0.00,31440
16-01-2022,0.800,"43,079.10",0.00,28660
17-01-2022,0.156,"42,209.30",-0.02,41440
18-01-2022,0.195,"42,364.60",0.00,47320
19-01-2022,0.170,"41,677.80",-0.02,53770
20-01-2022,0.065,"40,715.90",-0.02,65280
21-01-2022,0.125,"36,475.50",-0.10,155800
22-01-2022,-0.143,"35,075.20",-0.04,138090
23-01-2022,0.111,"36,269.50",0.03,70430
24-01-2022,0.065,"36,686.30",0.01,153770
25-01-2022,0.324,"36,950.60",0.01,79680
26-01-2022,0.048,"36,800.40",0.00,107870
27-01-2022,0.113,"37,164.30",0.01,83520
28-01-2022,0.208,"37,745.10",0.02,69450
29-01-2022,0.063,"38,170.80",0.01,42770
30-01-2022,0.222,"37,917.70",-0.01,34100
31-01-2022,0.021,"38,498.60",0.02,61270
01-02-2022,0.193,"38,709.70",0.01,55200
02-02-2022,0.170,"36,890.20",-0.05,53740
03-02-2022,0.294,"37,287.80",0.01,50350
04-02-2022,-0.078,"41,567.60",0.11,95490
05-02-2022,0.211,"41,412.10",0.00,46320
06-02-2022,0.412,"42,392.20",0.02,31200
07-02-2022,0.191,"43,833.90",0.03,76600
08-02-2022,0.164,"44,038.20",0.00,92880
09-02-2022,0.113,"44,388.90",0.01,50920
10-02-2022,0.070,"43,521.00",-0.02,89690
11-02-2022,0.163,"42,388.40",-0.03,69950
12-02-2022,0.192,"42,205.20",0.00,37880
13-02-2022,0.294,"42,061.10",0.00,25880
14-02-2022,0.333,"42,550.30",0.01,53600
15-02-2022,0.226,"44,544.40",0.05,56340
16-02-2022,0.071,"43,883.60",-0.01,41400
17-02-2022,0.216,"40,552.80",-0.08,72630
18-02-2022,0.189,"40,000.10",-0.01,64960
19-02-2022,0.118,"40,090.30",0.00,25780
20-02-2022,0.056,"38,355.00",-0.04,47920
21-02-2022,0.023,"37,017.70",-0.03,91820
22-02-2022,0.100,"38,248.20",0.03,82750
23-02-2022,0.107,"37,224.60",-0.03,64840
24-02-2022,0.111,"38,339.20",0.03,180470
25-02-2022,-0.043,"39,209.60",0.02,83780
26-02-2022,0.235,"39,115.50",0.00,41550
27-02-2022,0.200,"37,689.10",-0.04,66140
28-02-2022,0.143,"43,188.20",0.15,108070
01-03-2022,0.152,"44,420.30",0.03,90670
02-03-2022,0.176,"43,912.80",-0.01,80820
03-03-2022,0.069,"42,463.00",-0.03,74110
04-03-2022,0.170,"39,142.70",-0.08,3210
05-03-2022,0.059,"39,395.80",0.01,1500
06-03-2022,0.143,"38,403.10",-0.03,1930
07-03-2022,0.133,"38,024.80",-0.01,3020
08-03-2022,0.191,"38,744.80",0.02,2670
09-03-2022,0.143,"41,929.00",0.08,3600
10-03-2022,0.214,"39,416.30",-0.06,3620
11-03-2022,0.148,"38,730.20",-0.02,2790
12-03-2022,0.067,"38,814.30",0.00,1110
13-03-2022,0.231,"37,792.40",-0.03,1550
14-03-2022,0.174,"39,671.10",0.05,2330
15-03-2022,0.267,"39,285.70",-0.01,2250
16-03-2022,0.241,"41,118.70",0.05,4470
17-03-2022,0.100,"40,914.80",-0.01,1900
18-03-2022,0.152,"41,767.80",0.02,2310
19-03-2022,0.143,"42,233.00",0.01,224590
20-03-2022,0.333,"41,276.00",-0.02,308450
21-03-2022,0.346,"41,022.00",-0.01,406620
22-03-2022,0.180,"42,373.00",0.03,537060
23-03-2022,0.255,"42,912.00",0.01,433960
24-03-2022,0.193,"44,013.00",0.03,491660
25-03-2022,0.135,"44,331.00",0.01,494090
26-03-2022,0.118,"44,548.00",0.00,196300
27-03-2022,0.353,"46,859.00",0.05,388790
28-03-2022,0.116,"47,105.00",0.01,610270
29-03-2022,0.098,"47,449.00",0.01,478820
30-03-2022,0.130,"47,075.00",-0.01,467760
31-03-2022,0.365,"45,525.00",-0.03,520000
01-04-2022,0.152,"46,297.00",0.02,632930
02-04-2022,0.000,"45,811.00",-0.01,345930
03-04-2022,0.059,"46,407.00",0.01,398860
04-04-2022,0.130,"46,629.00",0.00,446120
05-04-2022,0.259,"45,506.00",-0.02,421110
06-04-2022,0.095,"43,173.00",-0.05,649520
07-04-2022,0.172,"43,448.00",0.01,390850
08-04-2022,0.280,"42,275.00",-0.03,467830
09-04-2022,0.500,"42,767.00",0.01,165160
10-04-2022,0.571,"42,138.00",-0.01,255830
11-04-2022,0.314,"39,497.00",-0.06,608380
12-04-2022,0.094,"40,078.00",0.01,468270
13-04-2022,0.288,"41,133.00",0.03,406700
14-04-2022,0.186,"39,936.00",-0.03,294290
15-04-2022,0.071,"40,560.00",0.02,233090
16-04-2022,0.000,"40,382.00",0.00,151310
17-04-2022,0.176,"39,703.00",-0.02,210010
18-04-2022,-0.021,"40,803.00",0.03,484260
19-04-2022,0.174,"41,503.00",0.02,268280
20-04-2022,0.055,"41,368.00",0.00,382840
21-04-2022,0.200,"40,482.00",-0.02,493050
22-04-2022,0.113,"39,709.00",-0.02,421300
23-04-2022,0.000,"39,418.00",-0.01,190600
24-04-2022,0.167,"39,464.00",0.00,283630
25-04-2022,0.244,"40,427.00",0.02,654600
26-04-2022,0.145,"38,113.00",-0.06,681470
27-04-2022,0.204,"39,243.00",0.03,426830
28-04-2022,0.241,"39,748.00",0.01,542390
29-04-2022,0.196,"38,581.00",-0.03,382900
30-04-2022,0.158,"37,650.00",-0.02,248220
01-05-2022,0.071,"38,461.00",0.02,276990
02-05-2022,-0.024,"38,514.00",0.00,580790
03-05-2022,0.083,"37,718.00",-0.02,367210
04-05-2022,0.164,"39,688.00",0.05,691490
05-05-2022,0.264,"36,544.00",-0.08,1040
06-05-2022,0.255,"36,009.00",-0.01,752840
07-05-2022,0.000,"35,468.00",-0.02,288860
08-05-2022,0.357,"34,060.00",-0.04,671050
09-05-2022,0.180,"30,095.00",-0.12,268090
10-05-2022,0.123,"31,007.50",0.03,235610
11-05-2022,0.036,"29,068.20",-0.06,296900
12-05-2022,-0.045,"28,976.00",0.00,309480
13-05-2022,0.018,"29,284.40",0.01,141230
14-05-2022,0.053,"30,080.40",0.03,70460
15-05-2022,0.450,"31,308.70",0.04,65440
16-05-2022,-0.111,"29,849.00",-0.05,100250
17-05-2022,0.087,"30,437.50",0.02,79630
18-05-2022,0.295,"28,683.70",-0.06,92030
19-05-2022,0.255,"30,305.90",0.06,101380
20-05-2022,-0.120,"29,178.60",-0.04,98780
21-05-2022,0.111,"29,434.60",0.01,32270
22-05-2022,0.118,"30,286.60",0.03,50600
23-05-2022,0.060,"29,093.30",-0.04,92100
24-05-2022,0.218,"29,648.70",0.02,79420
25-05-2022,0.095,"29,540.60",0.00,78850
26-05-2022,0.288,"29,203.50",-0.01,126710
27-05-2022,-0.043,"28,601.20",-0.02,116410
28-05-2022,0.045,"29,027.10",0.01,43870
29-05-2022,0.333,"29,465.20",0.02,36870
30-05-2022,0.279,"31,723.30",0.08,129560
31-05-2022,0.060,"31,793.40",0.00,86600
01-06-2022,0.164,"29,798.50",-0.06,135090
02-06-2022,0.186,"30,455.50",0.02,81400
03-06-2022,0.109,"29,700.90",-0.02,72130
04-06-2022,0.333,"29,864.30",0.01,33510
05-06-2022,0.067,"29,913.00",0.00,30330
06-06-2022,0.020,"31,367.60",0.05,94010
07-06-2022,0.158,"31,128.80",-0.01,140320
08-06-2022,0.140,"30,201.60",-0.03,87960
09-06-2022,0.232,"30,097.80",0.00,61720
10-06-2022,0.145,"29,083.30",-0.03,104260
11-06-2022,0.045,"28,403.40",-0.02,82920
12-06-2022,0.211,"26,606.30",-0.06,120020
13-06-2022,0.031,"22,448.00",-0.16,379260
14-06-2022,0.086,"22,157.30",-0.01,251010
15-06-2022,0.069,"22,577.90",0.02,280410
16-06-2022,0.203,"20,386.60",-0.10,144000
17-06-2022,0.052,"20,444.60",0.00,136270
18-06-2022,0.150,"18,986.50",-0.07,267250
19-06-2022,0.125,"20,577.20",0.08,169390
20-06-2022,0.216,"20,572.30",0.00,140600
