date,twitter_total_posts,positive_tweets,negative_tweets,neutral_tweets,tweet_sentiment,news_text_count,news_sentiment
2021-10-01,861,319,77,467,0.0974851661195395,,
2021-10-02,998,332,111,556,0.0701509225385713,,
2021-10-03,1016,322,84,611,0.0764299097949694,,
2021-10-04,1520,466,198,856,0.0682587822815325,,
2021-10-05,1846,621,180,1045,0.0787289551847387,,
2021-10-06,2422,746,215,1461,0.0672921630902894,,
2021-10-07,1310,471,153,687,0.0774121902410397,,
2021-10-08,1210,445,128,637,0.0797332720512029,,
2021-10-09,965,344,109,516,0.076858991237974,,
2021-10-10,1046,342,116,589,0.0663920366945112,,
2021-10-11,1844,691,220,933,0.0751433248186363,12.0,0.058515211640211645
2021-10-12,1311,492,162,657,0.0774010666264368,9.0,0.11616161616161616
2021-10-13,1302,486,119,697,0.0849989648399546,,
2021-10-14,1369,478,146,745,0.0802963324881522,,
2021-10-15,3092,954,392,1748,0.0642389440050209,1.0,0.0
2021-10-16,1305,486,149,671,0.0845592211928929,,
2021-10-17,1283,496,126,663,0.0877208294597955,,
2021-10-18,1669,649,190,830,0.0820967029414205,1.0,0.13636363636363635
2021-10-19,2567,936,244,1388,0.0786681996314977,1.0,0.1
2021-10-20,3190,1205,279,1706,0.082536415327311,,
2021-10-21,1752,659,202,892,0.0866825113857637,,
2021-10-22,1378,514,152,712,0.0807271195504255,,
2021-10-23,821,305,93,423,0.0758310141506374,,
2021-10-24,946,365,111,471,0.082269700689175,,
2021-10-25,1313,478,140,697,0.0851354488158461,,
2021-10-26,1381,503,143,737,0.0831123094126519,,
2021-10-27,1341,484,140,717,0.0923145293392743,1.0,0.0
2021-10-28,1316,485,128,703,0.0879331765068282,,
2021-10-29,1037,401,96,540,0.0893125010835374,1.0,0.19999999999999998
2021-10-30,855,351,76,430,0.1023681984497198,,
2021-10-31,1116,416,86,616,0.1035082147812889,,
2021-11-01,1238,472,136,631,0.0985923041675214,,
2021-11-02,1376,494,123,759,0.0875830054710868,,
2021-11-03,1277,464,151,662,0.0751369185722441,,
2021-11-04,1316,539,160,617,0.098395528526891,,
2021-11-05,1177,486,122,569,0.0902900295332385,,
2021-11-06,944,336,103,507,0.0824930498627166,,
2021-11-07,1083,353,111,619,0.0696817396875251,,
2021-11-08,2125,786,165,1174,0.0824453096440426,,
2021-11-09,1885,676,205,1004,0.0747634930623339,,
2021-11-10,1846,668,207,971,0.0740820083113584,,
2021-11-11,1275,511,135,630,0.0885357553806564,10.0,0.047878787878787875
2021-11-12,1453,500,196,758,0.0723132706816909,1.0,0.0857142857142857
2021-11-13,1185,441,133,611,0.0767239538193539,1.0,0.0
2021-11-14,1390,495,140,755,0.0844788093165426,1.0,0.2916666666666667
2021-11-15,1537,557,146,835,0.0888488304503015,10.0,0.061097763347763345
2021-11-16,1757,585,190,982,0.0754884134575166,7.0,0.04141414141414141
2021-11-17,827,301,92,434,0.0808561791398799,11.0,0.12727272727272726
2021-11-18,1573,532,186,856,0.078378366621378,11.0,0.10643939393939394
2021-11-19,1558,501,185,876,0.0740323036809042,10.0,0.15704004329004329
2021-11-20,1179,378,113,689,0.0794974903613097,1.0,0.0875
2021-11-21,1646,517,136,994,0.0678586389777408,,
2021-11-22,1516,511,155,850,0.0761375124435878,9.0,0.07344606782106783
2021-11-23,1434,542,138,757,0.0858948088982168,9.0,0.07592592592592592
2021-11-24,1195,438,144,614,0.0776641378815563,10.0,0.16958333333333334
2021-11-25,1117,407,104,607,0.0980698632916241,9.0,0.13922558922558922
2021-11-26,1495,488,178,829,0.0713915163726887,8.0,0.012836850649350652
2021-11-27,969,337,122,510,0.0744720322782666,,
2021-11-28,1189,361,118,710,0.0650270925763686,,
2021-11-29,740,303,88,349,0.0947003978788972,9.0,0.014583333333333334
2021-11-30,1257,406,139,713,0.0724534248096704,11.0,0.01983225108225108
2021-12-01,1309,467,147,695,0.0849397702728195,,
2021-12-02,1157,418,145,594,0.0718426952672428,,
2021-12-03,1403,452,162,791,0.0730931851625809,,
2021-12-04,2327,584,276,1467,0.0461853908240226,,
2021-12-05,1141,360,145,637,0.0581685356284839,,
2021-12-06,1625,593,195,837,0.0819272974877305,,
2021-12-07,1370,497,148,725,0.0756698965931434,,
2021-12-08,1211,421,142,648,0.0776311942035804,,
2021-12-09,1291,449,148,694,0.0737477893037657,,
2021-12-10,1229,421,147,662,0.0698127030166192,1.0,0.15625
2021-12-11,957,332,128,497,0.074508732274108,10.0,0.1441964285714286
2021-12-12,1098,359,118,621,0.0714731819115845,,
2021-12-13,1356,415,171,770,0.0601473165070404,11.0,0.09366391184573003
2021-12-14,1280,437,166,678,0.0639472715707172,11.0,-0.021742424242424244
2021-12-15,1246,406,133,708,0.0682964067376427,6.0,0.008333333333333335
2021-12-16,1067,383,118,566,0.0790809870664823,9.0,0.0887962962962963
2021-12-17,1115,370,141,604,0.0642853235986457,9.0,-0.005134680134680134
2021-12-18,868,293,96,480,0.0674314466104127,2.0,0.1125
2021-12-19,871,280,101,490,0.0668899649157733,,
2021-12-20,1181,407,136,638,0.0660276273112601,5.0,0.12012987012987013
2021-12-21,1454,502,135,817,0.0820859584719626,5.0,0.02727272727272727
2021-12-22,1102,369,137,596,0.0750387792876034,8.0,0.06371527777777777
2021-12-23,1372,440,137,796,0.0761291058019595,9.0,0.0004629629629629644
2021-12-24,1047,344,96,607,0.0856023180302626,7.0,0.028679653679653676
2021-12-25,758,228,69,461,0.0813261165584007,1.0,0.0
2021-12-26,856,265,75,517,0.0696420285265197,,
2021-12-27,1062,374,130,559,0.0647670724729619,9.0,0.011531986531986532
2021-12-28,1113,376,126,612,0.0732530135445576,7.0,-0.03283730158730158
2021-12-29,1165,403,145,619,0.066563746481775,8.0,0.020951704545454544
2021-12-30,1120,396,138,586,0.0806296071575049,7.0,0.028571428571428577
2021-12-31,1081,396,100,586,0.0877759903452362,6.0,0.0787037037037037
2022-01-01,923,352,108,463,0.0883199700524901,4.0,0.24166666666666667
2022-01-02,1021,397,120,505,0.0831381968608138,57.0,0.12298834206728944
2022-01-03,1552,659,144,749,0.1267342812786544,46.0,0.09068887634105025
2022-01-04,1245,491,136,619,0.0937505777989325,46.0,0.06367230535165318
2022-01-05,1592,525,185,883,0.0617060495605595,14.0,0.15277777777777776
2022-01-06,1615,540,228,848,0.0613921388919455,55.0,0.09119382133018496
2022-01-07,1533,472,188,873,0.0619329349042373,55.0,0.039278072937163844
2022-01-08,1286,387,157,742,0.0604369932917477,42.0,0.09034320672713529
2022-01-09,1070,323,127,621,0.061323381600251,42.0,0.04037175897294945
2022-01-10,1583,523,196,864,0.0633455774903777,17.0,0.009354575163398696
2022-01-11,1422,490,138,795,0.0740078639959027,46.0,0.13104131375870506
2022-01-12,1373,462,127,784,0.0796150542133985,48.0,0.05421311327561328
2022-01-13,1207,379,130,699,0.0610840259873934,22.0,0.059165037824128734
2022-01-14,1233,411,103,719,0.0820677105303244,39.0,0.08217342842342842
2022-01-15,910,341,106,463,0.0820309124820285,5.0,0.10124999999999999
2022-01-16,860,293,101,466,0.0780985433872529,5.0,0.04538383838383838
2022-01-17,1138,372,145,621,0.0584786551234325,32.0,0.0974815867003367
2022-01-18,1262,400,145,717,0.0642895258792997,41.0,0.08277422893276551
2022-01-19,1289,422,155,712,0.0622128969791365,47.0,0.06485013508949679
2022-01-20,1503,479,185,840,0.0633851443151553,46.0,0.0389631093544137
2022-01-21,2358,710,316,1333,0.0588640157775415,40.0,0.07877138197450698
2022-01-22,2105,561,252,1292,0.0454896603843913,14.0,0.043434343434343436
2022-01-23,1308,394,196,719,0.0548552044382004,9.0,0.004722222222222216
2022-01-24,2016,616,241,1161,0.0564447491952027,31.0,0.1001669537153408
2022-01-25,1498,507,160,832,0.0647796857123781,37.0,0.08353842478842478
2022-01-26,1627,563,169,895,0.0745048389697102,42.0,0.0775786779358208
2022-01-27,1281,433,177,672,0.0641869342866633,53.0,0.09505517892310344
2022-01-28,1309,462,122,727,0.0813193546435391,53.0,0.08595036052347373
