Dates,US Treasure 10Y Maturity
Oct-11-2021,1.59
Oct-12-2021,1.56
Oct-13-2021,1.52
Oct-14-2021,1.59
Oct-17-2021,1.59
Oct-18-2021,1.65
Oct-19-2021,1.65
Oct-20-2021,1.68
Oct-21-2021,1.66
Oct-24-2021,1.64
Oct-25-2021,1.63
Oct-26-2021,1.54
Oct-27-2021,1.57
Oct-28-2021,1.55
Oct-31-2021,1.58
Nov-01-2021,1.56
Nov-02-2021,1.6
Nov-03-2021,1.53
Nov-04-2021,1.45
Nov-07-2021,1.51
Nov-08-2021,1.46
Nov-09-2021,1.56
Nov-11-2021,1.58
Nov-14-2021,1.63
Nov-15-2021,1.63
Nov-16-2021,1.6
Nov-17-2021,1.59
Nov-18-2021,1.54
Nov-21-2021,1.63
Nov-22-2021,1.67
Nov-23-2021,1.64
Nov-25-2021,1.48
Nov-28-2021,1.52
Nov-29-2021,1.43
Nov-30-2021,1.43
Dec-01-2021,1.44
Dec-02-2021,1.35
Dec-05-2021,1.43
Dec-06-2021,1.48
Dec-07-2021,1.52
Dec-08-2021,1.49
Dec-09-2021,1.48
Dec-12-2021,1.42
Dec-13-2021,1.44
Dec-14-2021,1.47
Dec-15-2021,1.44
Dec-16-2021,1.41
Dec-19-2021,1.43
Dec-20-2021,1.48
Dec-21-2021,1.46
Dec-22-2021,1.5
Dec-26-2021,1.48
Dec-27-2021,1.49
Dec-28-2021,1.55
Dec-29-2021,1.52
Dec-30-2021,1.52
Jan-02-2022,1.63
Jan-03-2022,1.66
Jan-04-2022,1.71
Jan-05-2022,1.73
Jan-06-2022,1.76
Jan-09-2022,1.78
Jan-10-2022,1.75
Jan-11-2022,1.74
Jan-12-2022,1.7
Jan-13-2022,1.78
Jan-17-2022,1.87
Jan-18-2022,1.83
Jan-19-2022,1.83
Jan-20-2022,1.75
Jan-23-2022,1.75
Jan-24-2022,1.78
Jan-25-2022,1.85
Jan-26-2022,1.81
Jan-27-2022,1.78
Jan-30-2022,1.79
Jan-31-2022,1.81
Feb-01-2022,1.78
Feb-02-2022,1.82
Feb-03-2022,1.93
Feb-06-2022,1.92
Feb-07-2022,1.96
Feb-08-2022,1.94
Feb-09-2022,2.03
Feb-10-2022,1.92
Feb-13-2022,1.98
Feb-14-2022,2.05
Feb-15-2022,2.03
Feb-16-2022,1.97
Feb-17-2022,1.92
Feb-21-2022,1.94
Feb-22-2022,1.99
Feb-23-2022,1.96
Feb-24-2022,1.97
Feb-27-2022,1.83
Feb-28-2022,1.72
Mar-01-2022,1.86
Mar-02-2022,1.86
Mar-03-2022,1.74
Mar-06-2022,1.78
Mar-07-2022,1.86
Mar-08-2022,1.94
Mar-09-2022,1.98
Mar-10-2022,2
Mar-13-2022,2.14
Mar-14-2022,2.15
Mar-15-2022,2.19
Mar-16-2022,2.2
Mar-17-2022,2.14
Mar-20-2022,2.32
Mar-21-2022,2.38
Mar-22-2022,2.32
Mar-23-2022,2.34
Mar-24-2022,2.48
Mar-27-2022,2.46
Mar-28-2022,2.41
Mar-29-2022,2.35
Mar-30-2022,2.32
Mar-31-2022,2.39
Apr-03-2022,2.42
Apr-04-2022,2.54
Apr-05-2022,2.61
Apr-06-2022,2.66
Apr-07-2022,2.72
Apr-10-2022,2.79
Apr-11-2022,2.72
Apr-12-2022,2.7
Apr-13-2022,2.83
Apr-17-2022,2.85
Apr-18-2022,2.93
Apr-19-2022,2.85
Apr-20-2022,2.9
Apr-21-2022,2.9
Apr-24-2022,2.81
Apr-25-2022,2.77
Apr-26-2022,2.82
Apr-27-2022,2.85
Apr-28-2022,2.89
May-01-2022,2.99
May-02-2022,2.97
May-03-2022,2.93
May-04-2022,3.05
May-05-2022,3.12
May-08-2022,3.05
May-09-2022,2.99
May-10-2022,2.91
May-11-2022,2.84
May-12-2022,2.93
May-15-2022,2.88
May-16-2022,2.98
May-17-2022,2.88
May-18-2022,2.84
May-19-2022,2.78
May-22-2022,2.86
May-23-2022,2.76
May-24-2022,2.75
May-25-2022,2.75
May-26-2022,2.74
May-30-2022,2.85
May-31-2022,2.94
Jun-01-2022,2.92
Jun-02-2022,2.96
Jun-05-2022,3.04
Jun-06-2022,2.98
Jun-07-2022,3.03
Jun-08-2022,3.04
Jun-09-2022,3.15
Jun-12-2022,3.43
Jun-13-2022,3.49
Jun-14-2022,3.33
Jun-15-2022,3.28
Jun-16-2022,3.25
Jun-20-2022,3.31
Jun-21-2022,3.16
Jun-22-2022,3.09
Jun-23-2022,3.13
Jun-26-2022,3.2
Jun-27-2022,3.2
Jun-28-2022,3.1
Jun-29-2022,2.98
Jun-30-2022,2.88
Jul-04-2022,2.82
Jul-05-2022,2.93
Jul-06-2022,3.01
Jul-07-2022,3.09
Jul-10-2022,2.99
Jul-11-2022,2.96
Jul-12-2022,2.91
Jul-13-2022,2.96
Jul-14-2022,2.93
Jul-17-2022,2.96
Jul-18-2022,3.01
Jul-19-2022,3.04
Jul-20-2022,2.91
Jul-21-2022,2.77
Jul-24-2022,2.81
Jul-25-2022,2.81
Jul-26-2022,2.78
Jul-27-2022,2.68
Jul-28-2022,2.67
Jul-31-2022,2.6
Aug-01-2022,2.75
Aug-02-2022,2.73
Aug-03-2022,2.68
Aug-04-2022,2.83
Aug-07-2022,2.77
Aug-08-2022,2.8
Aug-09-2022,2.78
Aug-10-2022,2.87
Aug-11-2022,2.84
Aug-14-2022,2.79
Aug-15-2022,2.82
Aug-16-2022,2.89
Aug-17-2022,2.88
Aug-18-2022,2.98
Aug-21-2022,3.03
Aug-22-2022,3.05
Aug-23-2022,3.11
Aug-24-2022,3.03
Aug-25-2022,3.04
Aug-28-2022,3.12
Aug-29-2022,3.11
Aug-30-2022,3.15
Aug-31-2022,3.26
Sep-01-2022,3.2
Sep-05-2022,3.33
Sep-06-2022,3.27
Sep-07-2022,3.29
Sep-08-2022,3.33
Sep-11-2022,3.37
Sep-12-2022,3.42
Sep-13-2022,3.41
Sep-14-2022,3.45
Sep-15-2022,3.45
Sep-18-2022,3.49
Sep-19-2022,3.57
Sep-20-2022,3.51
Sep-21-2022,3.7
Sep-22-2022,3.69
Sep-25-2022,3.88
Sep-26-2022,3.97
Sep-27-2022,3.72
Sep-28-2022,3.76
Sep-29-2022,3.83
Oct-02-2022,3.67
Oct-03-2022,3.62
Oct-04-2022,3.76
Oct-05-2022,3.83
Oct-06-2022,3.89
Oct-10-2022,3.93
Oct-11-2022,3.91
Oct-12-2022,3.97
Oct-13-2022,4
Oct-16-2022,4.02
Oct-17-2022,4.01
Oct-18-2022,4.14
Oct-19-2022,4.24
Oct-20-2022,4.21
Oct-23-2022,4.25
Oct-24-2022,4.1
Oct-25-2022,4.04
Oct-26-2022,3.96
Oct-27-2022,4.02
Oct-30-2022,4.1
Oct-31-2022,4.07
Nov-01-2022,4.1
Nov-02-2022,4.14
Nov-03-2022,4.17
Nov-06-2022,4.22
Nov-07-2022,4.14
Nov-08-2022,4.12
Nov-09-2022,3.82
Nov-13-2022,3.88
Nov-14-2022,3.8
Nov-15-2022,3.67
Nov-16-2022,3.77
Nov-17-2022,3.82
Nov-20-2022,3.83
Nov-21-2022,3.76
Nov-22-2022,3.71
Nov-24-2022,3.68
Nov-27-2022,3.69
Nov-28-2022,3.75
Nov-29-2022,3.68
Nov-30-2022,3.53
Dec-01-2022,3.51
Dec-04-2022,3.6
Dec-05-2022,3.51
Dec-06-2022,3.42
Dec-07-2022,3.48
Dec-08-2022,3.57
Dec-11-2022,3.61
Dec-12-2022,3.51
Dec-13-2022,3.49
Dec-14-2022,3.44
Dec-15-2022,3.48
Dec-18-2022,3.57
Dec-19-2022,3.69
Dec-20-2022,3.68
Dec-21-2022,3.67
Dec-22-2022,3.75
Dec-26-2022,3.84
Dec-27-2022,3.88
Dec-28-2022,3.83
Dec-29-2022,3.88
Jan-02-2023,3.79
Jan-03-2023,3.69
Jan-04-2023,3.71
Jan-05-2023,3.55
Jan-08-2023,3.53
Jan-09-2023,3.61
Jan-10-2023,3.54
Jan-11-2023,3.43
Jan-12-2023,3.49
Jan-16-2023,3.53
Jan-17-2023,3.37
Jan-18-2023,3.39
Jan-19-2023,3.48
Jan-22-2023,3.52
Jan-23-2023,3.46
Jan-24-2023,3.46
Jan-25-2023,3.49
Jan-26-2023,3.52
Jan-29-2023,3.55
Jan-30-2023,3.52
Jan-31-2023,3.39
Feb-01-2023,3.4
Feb-02-2023,3.53
Feb-05-2023,3.63
Feb-06-2023,3.67
Feb-07-2023,3.63
Feb-08-2023,3.67
Feb-09-2023,3.74
Feb-12-2023,3.72
Feb-13-2023,3.77
Feb-14-2023,3.81
Feb-15-2023,3.86
Feb-16-2023,3.82
Feb-20-2023,3.95
Feb-21-2023,3.93
Feb-22-2023,3.88
Feb-23-2023,3.95
Feb-26-2023,3.92
Feb-27-2023,3.92
Feb-28-2023,4.01
Mar-01-2023,4.08
Mar-02-2023,3.97
Mar-05-2023,3.98
Mar-06-2023,3.97
Mar-07-2023,3.98
Mar-08-2023,3.93
Mar-09-2023,3.7
Mar-12-2023,3.55
Mar-13-2023,3.64
Mar-14-2023,3.51
Mar-15-2023,3.56
Mar-16-2023,3.39
Mar-19-2023,3.47
Mar-20-2023,3.59
Mar-21-2023,3.48
Mar-22-2023,3.38
Mar-23-2023,3.38
Mar-26-2023,3.53
Mar-27-2023,3.55
Mar-28-2023,3.57
Mar-29-2023,3.55
Mar-30-2023,3.48
Apr-02-2023,3.43
Apr-03-2023,3.35
