Dates,Gold (COMEX:^GC) - Day Close Price,Gold (COMEX:^GC) - Volume
Oct-12-2021,1759.30,114.77b
Oct-13-2021,1794.70,168.11b
Oct-14-2021,1797.90,299.04b
Oct-15-2021,1768.30,164.65b
Oct-18-2021,1765.70,202.63b
Oct-19-2021,1770.50,152.74b
Oct-20-2021,1784.90,166.97b
Oct-21-2021,1781.90,174.08b
Oct-22-2021,1796.30,138.73b
Oct-25-2021,1806.80,312.81b
Oct-26-2021,1793.40,153.59b
Oct-27-2021,1798.80,197.93b
Oct-28-2021,1802.60,182.80b
Oct-29-2021,1783.90,220.88b
Nov-01-2021,1795.80,254.51b
Nov-02-2021,1789.40,143.33b
Nov-03-2021,1763.90,145.79b
Nov-04-2021,1793.50,257.43b
Nov-05-2021,1816.80,222.61b
Nov-08-2021,1828.00,299.62b
Nov-09-2021,1830.80,200.41b
Nov-10-2021,1848.30,224.41b
Nov-11-2021,1863.90,352.79b
Nov-12-2021,1868.50,205.31b
Nov-15-2021,1866.60,201.36b
Nov-16-2021,1854.10,221.21b
Nov-17-2021,1870.20,220.43b
Nov-18-2021,1861.40,172.42b
Nov-19-2021,1851.60,186.06b
Nov-22-2021,1806.30,234.08b
Nov-23-2021,1783.80,352.86b
Nov-24-2021,1784.30,311.35b
Nov-26-2021,1788.10,103.43b
Nov-29-2021,1785.20,180.64b
Nov-30-2021,1776.50,151.37b
Dec-01-2021,1784.30,242.86b
Dec-02-2021,1762.70,180.34b
Dec-03-2021,1783.90,172.72b
Dec-06-2021,1779.50,175.18b
Dec-07-2021,1784.70,104.48b
Dec-08-2021,1785.50,129.89b
Dec-09-2021,1776.70,109.69b
Dec-10-2021,1784.80,123.97b
Dec-13-2021,1788.30,142.00b
Dec-14-2021,1772.30,106.06b
Dec-15-2021,1764.50,153.25b
Dec-16-2021,1798.20,161.10b
Dec-17-2021,1804.90,167.78b
Dec-20-2021,1794.60,156.61b
Dec-21-2021,1788.70,105.39b
Dec-22-2021,1802.20,134.15b
Dec-23-2021,1811.70,110.41b
Dec-27-2021,1808.80,104.84b
Dec-28-2021,1810.90,84.23b
Dec-29-2021,1805.80,100.54b
Dec-30-2021,1814.10,138.69b
Dec-31-2021,1828.60,113.43b
Jan-03-2022,1800.10,106.60b
Jan-04-2022,1814.60,168.31b
Jan-05-2022,1825.10,167.71b
Jan-06-2022,1789.20,173.34b
Jan-07-2022,1797.40,238.64b
Jan-10-2022,1798.80,238.93b
Jan-11-2022,1818.50,173.04b
Jan-12-2022,1827.30,184.15b
Jan-13-2022,1821.40,192.98b
Jan-14-2022,1816.50,215.52b
Jan-18-2022,1812.40,174.94b
Jan-19-2022,1843.20,362.94b
Jan-20-2022,1842.60,318.49b
Jan-21-2022,1831.80,233.86b
Jan-24-2022,1841.70,225.25b
Jan-25-2022,1852.50,244.33b
Jan-26-2022,1829.70,197.80b
Jan-27-2022,1795.00,154.39b
Jan-28-2022,1786.60,206.38b
Jan-31-2022,1796.40,217.15b
Feb-01-2022,1801.50,139.42b
Feb-02-2022,1810.30,128.88b
Feb-03-2022,1804.10,123.02b
Feb-04-2022,1807.80,173.72b
Feb-07-2022,1821.80,177.71b
Feb-08-2022,1827.90,139.81b
Feb-09-2022,1836.60,142.41b
Feb-10-2022,1837.40,136.72b
Feb-11-2022,1842.10,227.46b
Feb-14-2022,1869.40,239.09b
Feb-15-2022,1856.20,231.02b
Feb-16-2022,1871.50,214.88b
Feb-17-2022,1902.00,141.49b
Feb-18-2022,1899.80,268.55b
Feb-22-2022,1907.40,161.75b
Feb-23-2022,1910.40,334.59b
Feb-24-2022,1926.30,154.84b
Feb-25-2022,1887.60,423.05b
Feb-28-2022,1900.70,229.78b
Mar-01-2022,1943.80,249.27b
Mar-02-2022,1922.30,224.00b
Mar-03-2022,1935.90,227.98b
Mar-04-2022,1966.60,180.21b
Mar-07-2022,1995.90,241.53b
Mar-08-2022,2043.30,372.19b
Mar-09-2022,1988.20,447.65b
Mar-10-2022,2000.40,360.35b
Mar-11-2022,1985.00,303.27b
Mar-14-2022,1960.80,262.09b
Mar-15-2022,1929.70,162.20b
Mar-16-2022,1909.20,220.37b
Mar-17-2022,1943.20,195.46b
Mar-18-2022,1929.30,149.83b
Mar-21-2022,1929.50,150.88b
Mar-22-2022,1921.50,146.41b
Mar-23-2022,1937.30,153.28b
Mar-24-2022,1962.20,153.31b
Mar-25-2022,1954.20,181.20b
Mar-28-2022,1939.80,147.90b
Mar-29-2022,1918.00,109.25b
Mar-30-2022,1939.00,214.61b
Mar-31-2022,1954.00,136.04b
Apr-01-2022,1923.70,155.30b
Apr-04-2022,1934.00,135.15b
Apr-05-2022,1927.50,108.44b
Apr-06-2022,1923.10,147.26b
Apr-07-2022,1937.80,153.97b
